collocate,collocate_count,corpus_count,MI
of,4,1973,-1.0842390715337997
worry,1,2,6.86193616918976
or,1,215,0.11374331960029889
long,2,85,2.4525452330520574
sickness,1,1,7.861936169189758
the,18,4545,-0.11820340844939789
taller,1,2,6.86193616918976
man,3,201,1.7958469787319868
was,11,1266,1.0153060983987148
peter,1,14,4.0545812471321545
great,1,104,1.1614964510486672
success,1,7,5.0545812471321545
when,1,185,0.3305547086734469
asked,2,37,3.652482803560809
for,3,514,0.44127412071703725
his,10,643,1.855189336749174
she,4,1237,-0.41069361578661057
shook,1,22,3.4025045505524623
her,11,1352,0.920488351544872
pretty,1,15,3.9550455735812404
head,1,49,2.247226325074551
just,2,137,1.7639040862292323
he,10,1180,0.9792931198279179
sure,1,24,3.276973668468603
that,3,787,-0.17332115559657105
mrs,1,57,2.0290461550250174
fergusson,1,21,3.469618746410999
had,5,1045,0.15457703710887644
mentioned,1,1,7.861936169189758
eyes,1,109,1.0937518444128327
o,1,24,3.276973668468603
cart,1,50,2.2180799794150343
what,5,221,2.39596170468569
's,10,601,1.9526430833659358
well,2,158,1.5581554210126562
name,4,28,5.0545812471321545
henderson,4,122,2.931198831626873
said,2,348,0.4189926733410308
old,2,179,1.3781203919255027
bent,2,15,4.95504557358124
over,1,134,0.7958469787319866
and,10,2566,-0.141441191012561
spoke,1,22,3.4025045505524623
almost,1,28,3.054581247132155
unconsciously,1,2,6.86193616918976
rachel,3,394,0.824846850454539
soul,2,15,4.95504557358124
in,6,1278,0.12722654896392088
started,1,9,4.692011167747447
looked,2,88,2.4025045505524623
up,1,247,-0.08643106239491855
while,2,74,2.652482803560809
tanner,4,51,4.189510827218264
probably,1,14,4.0545812471321545
knew,1,63,1.8846562456898426
your,3,52,3.746458951769823
how,2,77,2.5951496284948576
should,2,83,2.4868967378428346
know,5,122,3.253126926514235
my,9,153,3.77447332793942
seen,2,78,2.5765339503275104
you,2,673,-0.5325265254205579
before,3,122,2.5161613323480294
i,5,1089,0.09507602536021448
did,1,152,0.6140086557461735
n't,4,421,1.1442597461233632
do,2,238,0.9671184058818156
it,3,1003,-0.5232072207012652
now,2,181,1.3620902821065537
ago,2,30,3.9550455735812404
is,3,155,2.1707742646366777
maiden,1,2,6.86193616918976
a,7,1889,-0.21411589514100654
married,3,26,4.7464589517698235
woman,1,108,1.1070486670262907
right,1,54,2.1070486670262905
delane,2,105,2.1476906515236367
tell,1,76,1.6140086557461735
me,1,278,-0.2570049035337482
dempsey,4,76,3.6140086557461735
expression,1,8,4.861936169189759
changed,1,7,5.0545812471321545
at,1,518,-1.1548721184967947
forward,1,11,4.402504550552462
eagerly,1,11,4.402504550552462
by,3,240,1.5400080743023967
toronto,1,3,6.276973668468603
dropped,1,17,3.77447332793942
then,1,209,0.15457703710887644
called,1,25,3.2180799794150343
myself,1,20,3.540008074302397
baronet,1,1,7.861936169189758
m.p.--sir,1,1,7.861936169189758
richard,1,5,5.5400080743023965
winton,1,11,4.402504550552462
lady,1,30,2.9550455735812404
standing,1,24,3.276973668468603
front,1,24,3.276973668468603
are,1,99,1.2325795491101494
oh,1,54,2.1070486670262905
way,1,94,1.3073473175121217
wilson,2,3,7.276973668468603
make,1,55,2.080576455665099
quarters,1,3,6.276973668468603
drop,1,6,5.276973668468603
bit,2,34,3.77447332793942
however,2,34,3.77447332793942
laughed,1,28,3.054581247132155
held,1,40,2.5400080743023965
out,1,212,0.13401571462656003
taken,1,28,3.054581247132155
room,1,74,1.6524828035608095
under,1,59,1.979293119827918
present,1,9,4.692011167747447
wooded,1,3,6.276973668468603
common,1,23,3.3383742131327456
indeed,1,35,2.7326531522447928
discovered,1,6,5.276973668468603
companion,1,18,3.6920111677474465
many,1,27,3.1070486670262905
minutes,1,21,3.469618746410999
sort,1,20,3.540008074302397
gentleman,1,3,6.276973668468603
on,3,555,0.3305547086734469
another,1,38,2.6140086557461735
farm,1,215,0.11374331960029889
about,1,184,0.3383742131327462
never,1,113,1.0417572067745713
heard,1,33,2.8175420498313057
mention,1,3,6.276973668468603
but,1,550,-1.241351639222263
happened,1,10,4.540008074302397
all,2,342,0.4440836543038612
dick,2,29,4.003955174062187
echoed,1,2,6.86193616918976
see,1,120,0.9550455735812406
course,1,60,1.9550455735812409
him,1,576,-1.3079888322525532
endeavouring,1,1,7.861936169189758
to,1,1935,-3.0561816818420136
speak,1,23,3.3383742131327456
horse,1,21,3.469618746410999
quiet,2,24,4.276973668468603
jack,1,1,7.861936169189758
john,1,18,3.6920111677474465
ma'am,1,5,5.5400080743023965
does,1,25,3.2180799794150343
nor,1,14,4.0545812471321545
we,1,136,0.7744733279394198
met,1,21,3.469618746410999
laid,1,14,4.0545812471321545
an,1,242,-0.05692706808483535
ironic,1,2,6.86193616918976
emphasis,1,6,5.276973668468603
shrugged,1,4,5.861936169189759
shoulders,1,11,4.402504550552462
janet,1,314,-0.43268457970186797
gone,1,46,2.3383742131327465
very,1,121,0.9430729319151647
pale,1,20,3.540008074302397
drumming,1,1,7.861936169189758
