collocate,collocate_count,corpus_count,MI
one,2,167,0.8888584630486022
generation,1,4,5.272562755522655
was,6,915,0.019897323072405736
forced,1,4,5.272562755522655
to,8,1337,-0.11222099457069824
make,1,41,1.9150107509045706
over,1,76,1.024635242079069
the,8,2583,-1.0622691725953457
tombs,1,2,6.272562755522654
of,5,1430,-0.8873085812557348
another,2,41,2.915010750904571
and,8,1608,-0.37848893565627406
said,5,406,0.9291549332248407
helen,3,414,0.16403829874448558
rathbone,1,20,2.9506346606352922
mother,1,47,1.717973903845017
fell,2,10,4.950634660635292
in,18,869,1.6792753901505668
do,1,231,-0.579186285893403
n't,4,298,1.053394235060493
you,4,597,0.05097563425784955
think,1,65,1.2501949424942
it,8,784,0.6578529114074463
susan,2,31,3.318366445135779
laugh,1,14,3.4652078334650502
thirty,1,27,2.5176752533591857
years,1,43,1.8462980008205567
previously,1,6,4.687600254801498
before,1,45,1.7807096591929799
had,4,666,-0.1068156115486077
come,2,53,2.544642300959455
into,1,117,0.40219803593925
's,6,464,0.9995442611162387
life,1,25,2.62870656574793
mad,1,4,5.272562755522655
bull,1,7,4.46520783346505
she,6,788,0.2354734367874344
with,12,407,2.1886402719775635
him,4,348,0.8296192596739262
he,8,1258,-0.0243534513566346
younger,1,8,4.272562755522655
than,2,80,1.9506346606352922
because,1,53,1.5446423009594554
ye,1,78,0.9871605366604062
like,2,116,1.4145817603950823
for,2,343,-0.14950201065015775
on,2,353,-0.19096161774852582
as,1,424,-1.4553576990405448
they,1,174,-0.17038074032607373
say,3,59,2.97488220688197
must,1,65,1.2501949424942
needs,1,1,7.272562755522654
go,1,65,1.2501949424942
fall,1,5,4.950634660635292
almost,1,12,3.687600254801499
only,2,53,2.544642300959455
sensible,1,9,4.102637754080343
girl,1,24,2.6876002548014983
slowly,1,10,3.950634660635292
resumed,1,7,4.46520783346505
his,6,554,0.7437830901946225
normal,1,2,6.272562755522654
stature,1,2,6.272562755522654
o,9,42,5.050170334186206
exclaimed,4,21,4.880245332743894
adagio,2,2,7.272562755522654
sostenuto,2,2,7.272562755522654
its,2,54,2.5176752533591857
fashion,3,3,7.272562755522654
also,2,35,3.143279738577688
love,2,29,3.4145817603950825
emanuel,6,157,2.5629045073521834
again,4,45,3.7807096591929796
slight,1,6,4.687600254801498
traces,1,1,7.272562755522654
more,2,75,2.0437440650267735
turn,1,8,4.272562755522655
called,1,29,2.414581760395082
plaintively,1,4,5.272562755522655
would,1,145,0.09265366550772006
be,2,261,0.24465675895277
too,2,40,2.9506346606352922
easy,1,8,4.272562755522655
stepmother,1,2,6.272562755522654
guests,1,4,5.272562755522655
all,3,163,1.508797102012733
about,2,125,1.3067784708605674
own,1,42,1.8802453327438942
yearnings,1,2,6.272562755522654
fact,1,34,2.1850999142723153
that,6,751,0.30485615872953903
lived,1,10,3.950634660635292
alone,1,20,2.9506346606352922
known,1,15,3.365672159914136
innumerable,1,2,6.272562755522654
circle,1,3,5.687600254801498
came,1,41,1.9150107509045706
but,3,328,0.499973251625727
this,1,164,-0.08498924909542913
time,2,63,2.295282832022738
voice,1,33,2.228168636164201
cracked,1,6,4.687600254801498
seemed,1,40,1.9506346606352922
bits,1,1,7.272562755522654
possible,1,9,4.102637754080343
conceivable,1,5,4.950634660635292
sat,1,26,2.5721230373815627
down,1,68,1.185099914272315
andrew,1,70,1.143279738577688
dean,1,46,1.7490007994656418
i,9,825,0.7542374478317887
'm,2,82,1.9150107509045706
very,1,90,0.7807096591929799
understand,1,8,4.272562755522655
how,2,83,1.8975233241757294
much,2,61,2.341825417959768
've,2,94,1.717973903845017
knew,1,32,2.2725627555226544
really,1,22,2.813131136885357
course,1,47,1.717973903845017
never,1,81,0.9327127526380298
each,1,26,2.5721230373815627
other,1,69,1.1640382987444855
is,1,248,-0.6816335548642207
been,2,172,0.8462980008205567
rest,1,5,4.950634660635292
house,2,73,2.0827381966426373
should,1,58,1.4145817603950823
oh,1,47,1.717973903845017
dear,1,27,2.5176752533591857
left,1,41,1.9150107509045706
has,2,34,3.185099914272315
falling,1,2,6.272562755522654
lilian,1,31,2.318366445135779
then,1,152,0.024635242079068895
still,1,32,2.2725627555226544
history,1,6,4.687600254801498
repeats,1,1,7.272562755522654
itself,1,16,3.2725627555226544
prockter,1,178,-0.20317067544374318
made,1,50,1.6287065657479298
piano,1,21,2.8802453327438937
presently,1,5,4.950634660635292
sail,1,4,5.272562755522655
order,1,15,3.365672159914136
announce,1,2,6.272562755522654
not,1,396,-1.356793864556955
surprising,1,3,5.687600254801498
conceived,1,3,5.687600254801498
encounter,1,3,5.687600254801498
a,3,1350,-1.5412184356943825
idyll,1,4,5.272562755522655
there,2,167,0.8888584630486022
short,1,9,4.102637754080343
silence,1,15,3.365672159914136
could,2,134,1.206473565064882
know,1,85,0.8631718193849529
were,2,162,0.9327127526380298
me,3,165,1.491203041997995
if,2,143,1.1126914187442651
why,1,65,1.2501949424942
did,1,160,-0.049365339364707876
try,1,9,4.102637754080343
affair,1,11,3.8131311368853575
no,1,187,-0.2743317043649822
have,1,224,-0.5347921665349497
even,1,60,1.365672159914136
cottage,1,5,4.950634660635292
