collocate,collocate_count,corpus_count,MI
he,6,1983,0.4857937941729429
felt,2,76,3.6063727422370495
for,7,647,2.3240332757457307
all,2,395,1.2285914126161692
this,1,310,0.5781758504063967
neither,1,17,4.766837414430295
nor,1,12,5.269337754959478
resentment,1,3,7.269337754959478
a,10,2397,0.9492141569188638
little,1,136,1.7668374144302947
earth,1,23,4.330738299623622
which,1,304,0.6063727422370491
had,4,1129,0.7134704849076335
no,2,346,1.41967202804391
wanted,1,24,4.269337754959478
from,2,373,1.3112684354253967
it,2,910,0.024577520594575842
was,3,1299,0.09607704095390966
through,1,72,2.684375254238322
spell,1,2,7.854300255680633
of,9,2794,0.5761089517134838
crazy,1,8,5.854300255680635
yellow,1,8,5.854300255680635
girl,2,14,6.0469453336230305
to,4,2338,-0.33675895885102186
the,7,5429,-0.7448155907910456
eight,1,7,6.0469453336230305
years,2,64,3.8543002556806343
suppressing,1,1,8.854300255680634
his,1,1448,-1.645545631402571
faculties,1,3,7.269337754959478
and,5,2121,0.12569944503744185
hatred,1,2,7.854300255680633
arrived,1,4,6.854300255680635
at,1,635,-0.45631252597889366
women,1,34,3.766837414430295
seen,1,78,2.568898036818386
them,2,138,2.745775798902465
suffer,1,7,6.0469453336230305
endure,1,1,8.854300255680634
riot,1,2,7.854300255680633
even,1,117,1.98393553609723
fight,1,7,6.0469453336230305
i,4,917,1.01352233208558
eighteen,1,2,7.854300255680633
fell,2,28,5.0469453336230305
in,6,1456,0.9314681162030944
with,4,880,1.0729405421559748
priest,1,19,4.606372742237049
ah,1,11,5.394868637043337
bah,1,2,7.854300255680633
exclaimed,1,14,5.0469453336230305
having,1,38,3.6063727422370495
fallen,2,10,6.532372160793272
him,1,555,-0.26204370555683376
some,1,157,1.5596795067890075
before,1,153,1.5969124129879826
anguish,1,6,6.269337754959478
passion,1,11,5.394868637043337
forbidden,1,2,7.854300255680633
terrors,1,3,7.269337754959478
comparable,1,1,8.854300255680634
those,1,74,2.6448468900516846
story,1,16,4.854300255680634
because,2,61,3.923562918117748
you,3,890,0.6416012305480304
have,1,516,-0.15692699974261964
man,2,234,1.98393553609723
that,3,1234,0.17013607725237276
heart,1,41,3.496748251062551
always,1,37,3.644846890051684
true,1,12,5.269337754959478
me,2,249,1.8942983236125535
or,3,186,2.9001039452937594
else,1,28,4.0469453336230305
mysterious,1,9,5.684375254238322
exile,1,1,8.854300255680634
hopeful,1,1,8.854300255680634
eager,1,1,8.854300255680634
she,2,600,0.6254815651847537
certain,1,28,4.0469453336230305
mothers,1,1,8.854300255680634
contempt,1,8,5.854300255680635
civic,1,2,7.854300255680633
virtues,1,2,7.854300255680633
tyranny,1,4,6.854300255680635
were,1,228,1.0214102415158928
inborn,1,1,8.854300255680634
there,1,407,0.1854152714143874
may,1,54,3.099412753517166
be,1,356,0.37856682471423675
jealousy,1,3,7.269337754959478
without,2,126,2.8770203321807184
think,1,75,2.625481565184754
so,1,167,1.4705959632065821
said,1,330,0.48797804143481865
rover,1,66,2.809906136322181
sacred,1,5,6.532372160793272
revolutionary,1,8,5.854300255680635
principles,1,10,5.5323721607932725
humanity,1,4,6.854300255680635
course,1,48,3.269337754959478
ral,1,161,1.5233833775660175
poor,1,18,4.684375254238322
devil,1,18,4.684375254238322
who,1,177,1.3866947055976369
picture,1,5,6.532372160793272
statue,1,2,7.854300255680633
old,1,152,1.6063727422370488
seaman,1,21,4.4619828329018745
used,1,35,3.725017238735668
peyrol,1,833,-0.847872429684913
cried,1,25,4.21044406590591
ceasing,1,2,7.854300255680633
