collocate,collocate_count,corpus_count,MI
know,8,454,0.25760120305825646
a,67,4942,-0.12064041452184046
man,10,457,0.570027430178464
must,9,405,0.5922965940194969
have,20,966,0.49019840640076057
the,123,10039,-0.26666375126794767
o,4,660,-1.2821725238966442
god,14,183,2.375804774122733
in,65,3126,0.4964154403779616
his,32,1924,0.1742566065791297
soul,7,83,2.516465181059851
and,125,6797,0.31925156753446227
they,7,770,-0.697210023175488
seemed,1,142,-1.0655974291555106
rather,1,121,-0.8347135469254231
to,96,6587,-0.01629364371581319
be,25,1577,0.10503893533338582
shedding,1,3,4.499187189628016
than,19,511,1.3348977228551357
making,7,104,2.191064894265683
observations,1,3,4.499187189628016
had,28,1970,-0.05247530193696301
gave,2,66,1.039755570990718
us,11,262,1.5101583074490184
our,22,256,2.5435813089864685
souls,2,26,2.383709972208079
put,4,192,0.49918718962801534
between,4,97,1.4842368481620438
parents,1,6,3.499187189628015
children,2,83,0.7091102590022467
husband,2,87,0.6412061945004432
too,7,324,0.5516546095221508
for,53,2398,0.5844542014981471
he,28,2955,-0.6374378026581192
was,38,3056,-0.24535162424299176
full,4,67,2.018060499891399
of,100,4484,0.5974353173184694
all,19,844,0.6109780150855718
men,4,150,0.8553309998532905
only,7,320,0.5695765175194132
saw,4,161,0.7532328122345544
their,10,453,0.5827105451902987
sins,1,7,3.2767947682915675
ah,1,70,-0.04513332659579496
would,12,777,0.06734140266261772
n't,20,781,0.7968990470945544
you,65,2301,0.9384722351535363
such,6,229,0.8299084029733838
if,18,1026,0.2512596761844298
about,9,544,0.16661185054114458
so,15,757,0.42689079597195845
then,7,368,0.3679426563497628
that,67,2681,0.7616833768243827
jesus,1,16,2.0841496903491716
showed,1,21,1.6918322675704112
poor,3,221,-0.1187903683211038
is,37,1023,1.2950126262327926
same,4,128,1.0841496903491714
has,9,283,1.1094164489596017
we,12,525,0.6329385785168428
father,3,106,0.9411917365071285
saviour,1,11,2.6247180717118743
who,8,497,0.12704764878688535
waiting,2,20,2.762221595461809
wounded,1,5,3.762221595461809
body,1,41,0.7265976857310879
look,3,291,-0.5157631518379563
here,2,164,-0.2734023142689122
dinah,14,526,0.8525856231144733
turned,3,148,0.45965882544137787
bessy,1,26,1.3837099722080795
cranage,1,19,1.836222176905586
now,4,560,-1.045133326595795
