collocate,collocate_count,corpus_count,MI
darting,1,4,5.450616620619744
determined,1,27,2.695729118456276
lizard,1,2,6.450616620619744
the,36,8667,-0.46077536722371487
mother,2,153,1.1932287779270925
's,18,1579,0.9957461662018195
is,18,1075,1.550420677585234
at,3,1170,-1.1567136931298663
first,3,136,1.9481162800905611
an,7,657,0.8982219823550188
absorbing,1,2,6.450616620619744
delight,1,14,3.64326169856214
same,1,75,1.2217979301238633
terms,1,8,4.450616620619744
as,5,1603,-0.8740139946474415
other,1,250,-0.5151676640423427
long,1,149,0.23144810015758285
lived,1,23,2.927054664562731
that,26,2950,0.6245570996242705
by,5,908,-0.05400377178380833
much,2,305,0.19795118816949567
suppression,1,2,6.450616620619744
of,39,5274,0.37133698361743234
usual,1,54,1.6957291184562757
share,1,33,2.406222501261291
hour,1,32,2.450616620619744
after,1,182,-0.05717801957895195
dinner,2,29,3.592635625492172
harold,2,560,-0.6786663963252221
who,9,739,1.091111067915906
it,14,1903,0.3639116964033264
i,10,2509,-0.5203520399020659
'm,1,111,0.6562007542696384
not,11,1597,0.2688996418458089
bound,1,19,3.202689107176159
to,33,5655,0.029699431101014875
toryism,1,6,4.865654119898588
better,4,145,2.27070753060481
than,7,443,1.46680865412233
my,6,609,0.7852807034345681
own,2,282,0.3110652682209508
flesh,1,9,4.280691619177432
gone,3,56,3.2282241992832965
discern,1,7,4.64326169856214
in,22,2988,0.3650838064678045
him,9,1015,0.633277609989518
a,30,4744,0.1456189216822592
for,9,1416,0.15293607197905928
whatsoever,1,2,6.450616620619744
things,3,215,1.2873862717514402
are,3,471,0.15599587172811727
honest,1,16,3.4506166206197437
and,35,5390,0.18383007992484285
peculiar,1,34,2.363153779369405
heritage,1,3,5.865654119898588
largeness,1,2,6.450616620619744
strength,2,28,3.64326169856214
often,1,68,1.3631537793694048
only,4,261,1.4227106240498597
another,1,108,0.6957291184562758
she,21,1302,1.496420310232869
was,18,2798,0.1703613748973032
able,2,33,3.406222501261291
her,23,1717,1.2285042526746228
father,1,210,-0.26362889704637826
wished,2,52,2.750176902478652
worship,2,6,5.865654119898588
beauty,1,20,3.128688525732382
might,3,328,0.6780271167228169
caress,1,2,6.450616620619744
what,2,654,-0.9025302048783383
or,2,473,-0.43507975271965077
impossible,1,32,2.450616620619744
should,1,372,-1.088542190488287
ever,2,105,1.7363711029536217
well,2,292,0.26079206173972713
enough,1,136,0.36315377936940485
become,2,59,2.567973571257903
his,7,2070,-0.7574435097093392
tardy,1,1,7.450616620619744
concurrence,1,2,6.450616620619744
conditions,2,33,3.406222501261291
love,6,89,3.559845690374503
fresh,1,18,3.280691619177432
young,2,164,1.0930646160016606
heart,1,65,1.4282488075912896
full,1,38,2.2026891071761585
on,7,1278,-0.061700578269645985
subject,1,42,2.058299197840984
he,13,2713,-0.25461699352102957
dreaded,1,5,5.1286885257323815
anything,1,133,0.39533418511855467
cause,1,35,2.321333603674778
like,3,330,0.6692569070950847
claim,1,41,2.0930646160016604
81,1,1,7.450616620619744
can,6,248,2.0813828109540253
you,4,1747,-1.3200472722970154
me,5,556,0.6536036427835993
annette,1,41,2.0930646160016604
will,1,441,-1.3340182249377763
be,8,1364,0.036988691595571825
proud,1,29,2.5926356254921723
believe,1,65,1.4282488075912896
with,19,1712,0.9570771476621829
but,10,1353,0.3705985915305696
family,1,109,0.682432295842818
man,4,494,0.5022493890350668
arm,1,44,1.9911850019824469
some,3,437,0.26408965184030225
men,2,243,0.5258041170139635
kindness,2,14,4.64326169856214
making,2,70,2.321333603674778
more,4,549,0.3499542816145456
exasperating,1,6,4.865654119898588
humiliating,1,4,5.450616620619744
radical,1,65,1.4282488075912896
candidate,1,41,2.0930646160016604
chapter,1,51,1.7781912786482488
x.,1,1,7.450616620619744
made,4,250,1.4848323359576572
neither,1,25,2.80676043084502
roses,1,2,6.450616620619744
nor,1,44,1.9911850019824469
apples,1,3,5.865654119898588
rather,1,143,0.290745283841355
irritating,1,4,5.450616620619744
woman,9,193,3.028084584793976
conquest,1,6,4.865654119898588
always,3,134,1.969489930883128
opposed,1,5,5.1286885257323815
have,3,993,-0.9200707861874734
been,3,707,-0.4299872834684981
little,2,386,-0.14184041664833613
never,6,272,1.9481162800905611
mentioning,1,2,6.450616620619744
why,1,103,0.7641160934365259
'll,2,221,0.6627140612283128
if,8,763,0.8750773737852138
help,2,67,2.3845274301619717
bear,1,44,1.9911850019824469
resolving,1,1,7.450616620619744
marry,1,33,2.406222501261291
would,5,728,0.2647500753084105
make,2,229,0.6114128325228003
did,5,285,1.6177266064550029
one,3,530,-0.014269428109661083
bit,1,36,2.280691619177432
sure,1,88,0.991185001982447
115,1,1,7.450616620619744
could,5,402,1.121493024328178
any,6,380,1.4657235130099524
so,4,442,0.6627140612283128
show,1,56,1.6432616985621402
there,4,740,-0.08076483989656774
something,2,171,1.0327641057338466
they,2,566,-0.6940416222121379
swilling,1,1,7.450616620619744
themselves,1,77,1.183830079924843
ale,1,16,3.4506166206197437
room,1,134,0.3845274301619719
filling,1,6,4.865654119898588
armony,2,2,7.450616620619744
word,2,46,2.927054664562731
our,4,159,2.137733665335389
club,1,6,4.865654119898588
flag,1,3,5.865654119898588
meaning,1,29,2.5926356254921723
lasting,1,1,7.450616620619744
youthfulness,1,1,7.450616620619744
enthusiastic,1,1,7.450616620619744
thought,2,194,0.8507037784326166
had,6,2188,-1.059817901451656
scorn,1,16,3.4506166206197437
forgiven,1,1,7.450616620619744
we,2,263,0.4116976313274419
cast,1,11,3.9911850019824473
self,2,75,2.2217979301238633
behind,2,63,2.473336697119828
us,1,105,0.7363711029536217
order,1,44,1.9911850019824469
say,2,289,0.2756909381190655
trespasses,3,4,7.0355791213409
others,1,63,1.473336697119828
their,2,350,-0.000594491212584535
presence,2,50,2.80676043084502
such,2,212,0.7226961660565453
precisely,1,11,3.9911850019824473
this,5,809,0.11254882307712924
longing,1,11,3.9911850019824473
opinion,1,40,2.128688525732382
too,1,218,-0.3175677041571821
way,1,220,-0.3307430929049153
esther,6,551,0.9296706127697429
confess,1,13,3.750176902478652
from,6,664,0.6605396899939758
blue,2,31,3.4964203102328693
liberalism,1,6,4.865654119898588
yellow,1,7,4.64326169856214
opinions,1,24,2.865654119898588
unremembered,1,1,7.450616620619744
acts,1,10,4.1286885257323815
wordsworth,1,1,7.450616620619744
tintern,1,1,7.450616620619744
abbey,1,1,7.450616620619744
jermyn,1,366,-1.0650832176642981
conception,1,5,5.1286885257323815
happy,2,21,4.0582991978409835
must,3,261,1.007673124771016
felix,3,500,0.06979483667881362
holt,3,217,1.2740278888964212
were,5,671,0.3823757593069232
life,2,244,0.5198792830568582
exalted,1,1,7.450616620619744
hear,1,66,1.4062225012612908
eyes,2,136,1.3631537793694048
part,2,83,2.0755771892728196
rare,1,6,4.865654119898588
wit,1,14,3.64326169856214
shakespeare,1,5,5.1286885257323815
sonnets,1,1,7.450616620619744
custom,1,2,6.450616620619744
yearning,1,5,5.1286885257323815
expression,1,32,2.450616620619744
vexation,1,5,5.1286885257323815
under,1,133,0.39533418511855467
subjection,1,11,3.9911850019824473
once,1,134,0.3845274301619719
law,1,63,1.473336697119828
gave,1,70,1.321333603674778
obey,1,5,5.1286885257323815
johnson,1,126,0.47333669711982795
found,1,84,1.0582991978409841
incompatible,1,2,6.450616620619744
faithfulness,1,1,7.450616620619744
which,3,1004,-0.9359644326098714
even,1,152,0.2026891071761588
far,1,71,1.3008695011150622
off,1,114,0.6177266064550028
garstin,1,39,2.165214401757496
hatred,1,10,4.1286885257323815
holding,1,28,2.6432616985621404
aloft,1,1,7.450616620619744
motto,1,2,6.450616620619744
let,1,138,0.3420921638415752
brotherly,1,1,7.450616620619744
continue,1,3,5.865654119898588
civil,1,7,4.64326169856214
force,1,19,3.202689107176159
calculated,1,4,5.450616620619744
without,2,192,0.8656541198985882
strong,1,74,1.2411632549907945
affections,1,4,5.450616620619744
think,2,225,0.6368354294027072
nothing,1,166,0.07557718927281966
resolutions,1,4,5.450616620619744
suppose,1,62,1.496420310232869
waiting,1,21,3.058299197840984
ask,1,61,1.5198792830568582
has,3,260,1.0132113083124459
convinced,1,12,3.8656541198985885
your,2,390,-0.15671369312986633
worth,1,38,2.2026891071761585
having,1,101,0.7924051378679497
know,1,310,-0.8255077846544933
dear,1,85,1.0412256844820427
knows,1,21,3.058299197840984
may,3,212,1.3076586667777013
fall,1,24,2.865654119898588
deeply,2,9,5.280691619177432
here,1,159,0.13773366533538892
poor,1,119,0.5557988573118009
mrs,1,324,-0.8892333822648801
motherly,1,2,6.450616620619744
over,1,148,0.24116325499079444
came,1,127,0.46193193384757847
expository,1,1,7.450616620619744
eagerness,1,8,4.450616620619744
best,1,79,1.1468358724426415
hard,1,64,1.4506166206197444
transome,2,484,-0.4682466166548502
before,1,231,-0.4011324207963131
labor,1,11,3.9911850019824473
ample,1,2,6.450616620619744
leisure,1,8,4.450616620619744
servants,1,19,3.202689107176159
all,4,611,0.1955880508010149
miss,1,75,1.2217979301238633
lyon,1,335,-0.9374006647253904
wish,2,81,2.11076661773512
energetically,1,4,5.450616620619744
through,1,117,0.58025190103634
denner,2,54,2.695729118456276
freezing,1,1,7.450616620619744
into,3,333,0.6562007542696384
fear,1,35,2.321333603674778
feel,1,67,1.3845274301619719
lives,1,27,2.695729118456276
turned,1,113,0.6304376582045566
come,2,262,0.4171936190822941
catastrophe,1,1,7.450616620619744
likely,2,68,2.363153779369405
evidently,1,12,3.8656541198985885
admired,1,12,3.8656541198985885
short,1,39,2.165214401757496
desired,1,14,3.64326169856214
judge,1,26,2.750176902478652
them,4,394,0.8285648011633682
generous,1,18,3.280691619177432
accuse,1,2,6.450616620619744
turning,1,56,1.6432616985621402
good,2,363,-0.05320911737600629
bargain,1,4,5.450616620619744
tell,1,141,0.3110652682209508
debtor,1,1,7.450616620619744
suspected,1,10,4.1286885257323815
passages,1,4,5.450616620619744
between,2,94,1.8960277689421072
grave,1,11,3.9911850019824473
candid,1,1,7.450616620619744
gray,1,32,2.450616620619744
seemed,2,211,0.7295174319125592
belonged,1,16,3.4506166206197437
pretence,1,4,5.450616620619744
lies,1,8,4.450616620619744
above,1,44,1.9911850019824469
range,1,5,5.1286885257323815
vague,1,12,3.8656541198985885
consciousness,1,34,2.363153779369405
unfascinating,1,1,7.450616620619744
accepts,1,1,7.450616620619744
began,1,47,1.8960277689421072
being,1,188,-0.10397223105789302
surrounding,1,2,6.450616620619744
whether,1,82,1.0930646160016606
fortune,1,36,2.280691619177432
ready,1,44,1.9911850019824469
combinations,1,3,5.865654119898588
heightened,1,3,5.865654119898588
said,1,1082,-2.628868163207071
himself,1,354,-1.016988929463253
when,2,487,-0.47716134146259775
talk,1,63,1.473336697119828
getting,1,68,1.3631537793694048
serious,1,22,2.991185001982447
hitherto,1,19,3.202689107176159
acquaintance,1,24,2.865654119898588
oriental,1,4,5.450616620619744
derived,1,2,6.450616620619744
chiefly,1,30,2.5437260250112255
byronic,1,4,5.450616620619744
poems,1,2,6.450616620619744
air,1,35,2.321333603674778
passionate,1,11,3.9911850019824473
serenity,1,2,6.450616620619744
perfect,1,23,2.927054664562731
forever,1,10,4.1286885257323815
adjust,1,3,5.865654119898588
look,1,140,0.3213336036747779
depths,1,5,5.1286885257323815
interview,1,38,2.2026891071761585
ended,1,19,3.202689107176159
these,1,190,-0.11923898771120355
women,1,64,1.4506166206197444
allude,1,3,5.865654119898588
sake,1,23,2.927054664562731
overpowering,1,4,5.450616620619744
impulse,1,15,3.543726025011226
mingled,1,7,4.64326169856214
gratitude,1,9,4.280691619177432
anxiety,1,26,2.750176902478652
urged,1,27,2.695729118456276
brave,1,11,3.9911850019824473
placed,1,15,3.543726025011226
wooed,1,3,5.865654119898588
greatly,1,10,4.1286885257323815
supreme,1,11,3.9911850019824473
motive,1,15,3.543726025011226
gives,1,11,3.9911850019824473
sublime,1,5,5.1286885257323815
true,2,72,2.280691619177432
410,1,1,7.450616620619744
makes,2,40,3.128688525732382
easy,1,51,1.7781912786482488
heaven,1,24,2.865654119898588
park,1,33,2.406222501261291
no,1,668,-1.933087671854308
longer,1,38,2.2026891071761585
hovering,1,2,6.450616620619744
fancy,1,12,3.8656541198985885
delightful,1,12,3.8656541198985885
until,1,25,2.80676043084502
asks,1,2,6.450616620619744
straight,1,20,3.128688525732382
renders,1,2,6.450616620619744
homage,1,6,4.865654119898588
dare,1,24,2.865654119898588
do,1,508,-1.5380680661524215
back,1,172,0.02435186591764643
brought,1,70,1.321333603674778
herself,1,134,0.3845274301619719
faith,1,18,3.280691619177432
unproffered,1,1,7.450616620619744
unchanging,1,2,6.450616620619744
fountains,1,2,6.450616620619744
reverence,1,7,4.64326169856214
devout,1,7,4.64326169856214
longed,1,13,3.750176902478652
fair,1,19,3.202689107176159
see,1,272,-0.6368462206305952
bonde,1,1,7.450616620619744
fairer,1,1,7.450616620619744
finest,1,11,3.9911850019824473
memory,1,35,2.321333603674778
those,1,190,-0.11923898771120355
age,1,19,3.202689107176159
youth,1,20,3.128688525732382
fill,1,6,4.865654119898588
very,1,296,-0.7588367450092056
next,1,45,1.9587635242900698
