collocate,collocate_count,corpus_count,MI
a,6,940,-0.8880026669085179
museum,1,1,6.403551778935325
of,15,986,0.36499853816593275
antiquities,1,1,6.403551778935325
and,17,1638,-0.18670502145534357
art,1,6,3.8185892782141693
understand,1,34,1.3160889376849862
the,16,2357,-0.7991842643148418
italians,3,13,4.28807456151539
for,5,479,-0.17840197191349216
years,1,18,2.233626777493013
since,1,13,2.7031120607942336
charles,1,12,2.8185892782141693
had,5,538,-0.3459824887339361
fallen,1,7,3.5961968568777216
in,13,591,0.8969771768988855
with,9,305,1.3208113479273895
lilia,5,138,1.616955417044519
theobald,1,23,1.8799898228783127
because,1,38,1.1556242654917401
she,10,948,-0.16326337507557107
was,6,914,-0.8475360754015878
listen,1,4,4.403551778935325
to,14,1325,-0.16086994334499408
's,4,279,0.2794304671061382
letter,2,42,2.0112343561565655
we,3,153,0.7311264369638303
this,6,173,1.5538860520197573
place,2,44,1.9441201602980285
i,22,840,1.1487378799065002
do,8,269,1.3320894163787016
not,14,504,1.2336267774930134
morning,1,20,2.0816236840479636
caroline,1,35,1.2742687619903594
is,10,439,0.9474027442873298
sweeter,1,2,5.403551778935326
than,2,86,0.9772870242332277
mean,1,23,1.8799898228783127
that,11,577,0.6905558889271404
social,1,12,2.8185892782141693
differences,1,1,6.403551778935325
after,2,62,1.4493554685484504
all,3,279,-0.13560703217270562
but,8,439,0.6254746493999674
what,1,204,-1.2688735630361698
sense,1,12,2.8185892782141693
so,6,195,1.3811839659068712
really,1,37,1.194098413306376
unworldly,1,1,6.403551778935325
marriages,1,1,6.403551778935325
are,2,142,0.2538046594306438
made,1,44,0.9441201602980286
heaven,1,4,4.403551778935325
yes,3,35,2.8592312627115155
great,1,46,0.8799898228783128
country,1,17,2.3160889376849862
england,1,19,2.15562426549174
english,2,33,2.359157659576872
philip,2,256,-0.5964482210646742
he,12,1110,-0.12782968158098648
did,4,163,1.0548236247042482
expect,1,6,3.8185892782141693
it,10,836,0.01812074174180532
quite,1,45,0.9116986826056509
much,3,66,1.9441201602980285
again,1,75,0.17473308843944477
oh,1,60,0.4966611833268071
time,1,87,-0.03939171691340265
marry,1,13,2.7031120607942336
coarseness,1,1,6.403551778935325
truth,4,4,6.403551778935325
