collocate,collocate_count,corpus_count,MI
matter,1,47,2.1726225572916515
of,24,3395,0.5829780505583512
his,10,2009,0.07687765512335965
son,2,84,2.334893986190529
an,3,363,0.8083481716946948
unfortunate,1,8,4.727211408969289
affair,1,10,4.4052833140819265
with,10,1061,0.9979305629418868
that,12,1419,0.8415150356298938
precious,1,9,4.557286407526977
flirt,1,3,6.142248908248132
danae,1,2,6.727211408969289
health,1,13,4.0267716908281965
remains,1,2,6.727211408969289
good,1,179,0.2433956317050326
at,4,868,-0.03433982347519019
present,1,22,3.267779790331992
i,5,785,0.43259066007766234
am,2,27,3.972323906805821
your,3,149,2.0930053892282836
affectionate,1,4,5.727211408969289
father,1,77,1.4604248682743877
jolyon,3,393,0.6937884074318388
had,9,1546,0.30281180648675404
ended,1,10,4.4052833140819265
in,15,1866,0.768368733726049
spite,2,20,4.4052833140819265
for,6,829,0.616945618194695
representative,1,1,7.727211408969289
moderation,1,4,5.727211408969289
and,16,2951,0.2002232035372821
order,1,18,3.557286407526977
property,1,74,1.5177580433403395
as,4,685,0.3072512311214
lonely,1,13,4.0267716908281965
old,3,382,0.7347450816546968
crewel,1,1,7.727211408969289
worked,1,8,4.727211408969289
seats,1,8,4.727211408969289
everything,1,37,2.5177580433403395
betokened,1,1,7.727211408969289
beauty,1,10,4.4052833140819265
so,3,395,0.6864650666259802
deeply,1,7,4.9198564869116845
implanted,1,1,7.727211408969289
indeed,4,54,3.972323906805821
impatience,1,4,5.727211408969289
simplicity,1,2,6.727211408969289
a,14,2671,0.1514020703917833
ormolu,1,1,7.727211408969289
which,3,355,0.8404986952984009
always,2,120,1.8203208133607705
stamped,1,2,6.727211408969289
june,2,239,0.8263446009885405
was,7,1758,-0.2451530241165107
only,1,136,0.6397485677189497
girl,1,45,2.2353583126396144
too,1,223,-0.07368849095101555
emily,1,22,3.267779790331992
mrs,1,138,0.6186869521911199
james,2,271,0.6450623676154176
liked,1,21,3.334893986190529
be,3,459,0.4698235662766373
keeping,1,17,3.63974856771895
him,11,769,1.59980323964476
people,2,91,2.219416768770593
are,2,116,1.869230413841717
late,1,28,2.919856486911685
she,5,1024,0.04913950385665162
answered,1,54,1.9723239068058205
swithin,2,131,1.6937884074318386
made,1,187,0.1803169490816524
mistake,1,9,4.557286407526977
did,1,273,-0.3655457319505633
not,8,794,1.0942162118263314
tried,2,31,3.773015098582414
to,11,2844,-0.2870627220128289
love,4,44,4.267779790331992
could,4,341,1.3135834799451167
obviously,1,5,5.405283314081927
no,3,423,0.5876600565704957
reason,1,25,3.083355219194565
he,10,2976,-0.49001930725138
born,1,10,4.4052833140819265
loved,2,15,4.8203208133607705
who,3,277,1.198431743641257
when,1,215,-0.020981440620171054
loving,1,3,6.142248908248132
cold,1,35,2.597928392024323
blooded,1,2,6.727211408969289
man,1,235,-0.14930553759571058
children,2,39,3.441809190107041
