collocate,collocate_count,corpus_count,MI
and,80,5425,0.33910234700139535
were,4,666,-0.9567966927380254
yet,6,198,1.3781875549747835
so,13,814,0.4541364082080821
different,2,25,2.778725484558512
ruth,12,1068,-0.05315175663316091
whispered,1,14,2.6152267522756327
a,29,2711,-0.12404672837690275
girl,3,73,1.8177196161743758
who,5,395,0.1188009261561341
had,15,1641,-0.3508872535719573
unwillingly,1,1,6.422581674333237
fairly,1,9,3.2526566728909247
go,1,257,-1.5830428748606413
to,48,4848,-0.2356298084185577
bed,1,66,0.3781875549747835
come,6,251,1.036000621103621
jenny,1,36,1.2526566728909247
's,17,1173,0.314057217555068
advice,1,10,3.1006535794458747
was,29,2707,-0.1219165027541547
not,28,1542,0.6393495464758068
resisted,1,3,4.83761917361208
the,62,7170,-0.4309794188691549
indiscreet,1,1,6.422581674333237
indulgence,1,6,3.837619173612081
arising,1,4,4.4225816743332365
from,9,568,0.4427595562708672
centred,1,1,6.422581674333237
all,14,801,0.584278163982131
in,26,2509,-0.16987536293484343
one,5,521,-0.28062979305790897
object,2,34,2.3351188330828974
as,14,1511,-0.33135134877398803
her,46,3090,0.3527525075985129
wayward,1,1,6.422581674333237
disposition,1,3,4.83761917361208
of,75,4042,0.6705467584493826
power,1,77,0.1557951336383357
prompted,1,7,3.6152267522756327
he,20,2284,-0.4128371661422434
least,1,36,1.2526566728909247
passionate,3,29,3.149563179926821
for,43,1475,1.3223471898987689
him,16,819,0.7448620326922282
would,10,645,0.4113544189099828
have,16,919,0.5786606230442023
induced,1,7,3.6152267522756327
tearing,1,1,6.422581674333237
off,2,116,0.5646006792056648
passion,2,13,3.7221419561921447
whole,1,39,1.1371794554709884
boughs,1,4,4.4225816743332365
favourite,1,8,3.4225816743332365
china,1,3,4.83761917361208
old,6,237,1.118800926156134
walks,2,9,4.252656672890924
places,1,21,2.0302642515544767
you,58,1711,1.5399386249713958
we,11,293,1.6872564385482864
could,8,534,0.3618857426456829
still,2,185,-0.10879978618307512
leisurely,1,6,3.837619173612081
spent,1,11,2.9631500556959396
your,6,310,0.7314197697801554
childhood,1,17,2.3351188330828974
i,50,2806,0.6121385704880624
shall,4,137,1.3245495913727101
almost,1,121,-0.4962815629413576
them,5,293,0.5497529147983514
much,6,293,0.8127873206321451
do,20,623,1.4614214161965975
