collocate,collocate_count,corpus_count,MI
here,3,278,-0.04757745423714153
oh,5,290,0.6284201226376376
yes,8,214,1.7449341313640627
to,96,8954,-0.05695298441717849
be,25,1710,0.3904766977666741
sure,8,329,1.1244573440299683
i,111,6044,0.7195290389504865
daresay,1,95,-0.08345449056573809
it,40,3917,-0.12720420029817434
's,38,2771,0.2981376357273781
hard,3,88,1.6119319998490687
understanding,2,16,3.48640111776521
for,47,2529,0.7366386477796085
you,77,3629,0.9278313169807767
but,21,2360,-0.32585260370523367
very,13,1003,0.21673494529412113
fine,1,76,0.23847360432162423
and,94,8351,0.013256719690014821
her,65,4688,0.3140120763714164
as,34,2840,0.10218874462350468
often,2,136,0.3989382765148703
his,35,2357,0.4129480914600087
the,79,10311,-0.5417147711511406
open,1,70,0.3571181008202432
air,1,64,0.4864011177652098
my,31,1139,1.2870453964439732
hands,2,93,0.9472423066571782
faugh,1,1,6.48640111776521
chapter,3,61,2.1406262809234797
v.,1,3,4.901438617044053
calf,4,6,5.901438617044053
one,16,988,0.5380338861805319
day,4,417,-0.21750245567945387
some,7,563,0.1567649277425841
reason,2,66,1.4420069984067563
or,14,955,0.3943991168997027
where,3,213,0.33665399826052766
came,2,471,-1.3931821318475734
from,10,790,0.18262036958810668
a,58,5060,0.03946044331110941
letter,9,171,2.2384736043216242
love,12,258,2.0601363630631115
click,3,21,3.6790461957076053
enlarge,2,17,3.39893827651487
papa,3,224,0.26400869642876185
read,1,139,-0.6325399549582977
was,35,4274,-0.44568705794963487
flaming,1,2,5.48640111776521
mr,12,1218,-0.1789347994199665
coxe,5,78,2.522926993790324
who,7,606,0.050582056349863035
professed,1,5,4.164473022877847
first,6,264,1.0269694991279124
confession,2,14,3.6790461957076053
of,85,6598,0.20797899133798067
he,44,3938,0.0025853405009534235
calls,1,29,1.6284201226376376
so,17,1604,-0.07359446743937112
old,4,348,0.043457621916481344
how,10,537,0.7395509346671596
did,17,776,0.9739511168284213
mrs,6,924,-0.7803854229296917
gibson,12,1251,-0.21750245567945387
name,4,125,1.5206168331031227
out,6,833,-0.6308090668791818
an,8,599,0.25998892497642395
envelope,1,5,4.164473022877847
enclosed,1,2,5.48640111776521
fervid,1,3,4.901438617044053
above,1,32,1.4864011177652097
prescription,1,5,4.164473022877847
sealed,1,7,3.6790461957076053
if,17,1363,0.16129411221033954
this,5,987,-1.1385770618038256
stupid,1,23,1.962839161708197
passionate,3,19,3.82343610504278
lasted,1,5,4.164473022877847
what,14,947,0.40653542435442896
said,18,1611,0.0025853405009534235
openly,1,11,3.026969499127912
fancy,5,86,2.382064457950474
that,38,2914,0.22554346914428267
your,8,654,0.13325429226712723
daughter,3,186,0.5322048073783344
do,37,1399,1.245674236229406
not,35,2285,0.4577056847647441
think,8,689,0.0580409450609183
thoughts,2,64,1.4864011177652097
run,2,42,2.094083694986449
upon,1,302,-1.752003621559869
until,1,77,0.21961457707030835
had,30,2777,-0.04601974844511769
magnified,1,1,6.48640111776521
into,6,579,-0.10605591950287067
little,8,755,-0.07393171644723154
meditated,1,2,5.48640111776521
miss,9,572,0.4964547824291326
at,6,2015,-1.905200504928964
length,1,61,0.5556637802023234
darling,3,37,2.861910252857416
am,5,294,0.6086568678162078
beginning,1,33,1.4420069984067563
already,2,49,1.8716912736500015
we,10,527,0.7666700610153572
might,4,414,-0.2070858397341156
have,20,1712,0.06686222625142513
been,8,964,-0.42648821846475193
having,1,133,-0.5688813177359798
affair,11,73,3.7560081775224896
they,5,841,-0.9076327776025724
him,26,1324,0.8161534290990841
fall,3,24,3.48640111776521
in,46,3892,0.08366707904111091
with,36,1902,0.7630245883469586
should,5,481,-0.10156387111746987
must,5,479,-0.09555263308360828
n't,19,1539,0.14655111488058492
falling,7,21,4.901438617044053
these,1,213,-1.2483085024606284
ten,1,46,0.9628391617081968
years,1,124,-0.4677951926216655
unless,2,29,2.6284201226376376
hamley,6,446,0.2704637185660611
mildly,1,1,6.48640111776521
pooh,1,2,5.48640111776521
away,2,290,-0.6935079722497248
nay,1,30,1.5795105221566912
dear,9,348,1.2133826233587937
loved,3,35,2.942080601541399
each,7,108,2.538868537659345
when,2,887,-2.306389176535854
were,4,862,-1.2651429413238886
young,6,309,0.7999005905819913
all,13,1412,-0.2766835373648785
nowadays,1,2,5.48640111776521
is,21,1496,0.3318240806563332
just,8,359,0.9985610839421584
silly,2,23,2.962839161708197
man,6,298,0.8521950980242043
vii,1,1,6.48640111776521
foreshadows,1,1,6.48640111776521
perils,1,1,6.48640111776521
illustrationf,1,1,6.48640111776521
squire,3,472,-0.8112794308754753
red,1,48,0.9014386170440535
headed,1,3,4.901438617044053
called,2,144,0.3164761163228973
them,5,518,-0.20847907503398175
indeed,3,147,0.8716912736500015
'm,4,432,-0.2684863843982588
much,10,615,0.5438866124259697
thinking,2,106,0.7584806632020105
venus,1,2,5.48640111776521
herself,2,403,-1.1682349107627577
has,7,461,0.44513309939347584
house,1,277,-1.6273410482839785
hour,1,64,0.4864011177652098
hush,2,10,4.164473022877847
roger,10,743,0.27111081211397586
mary,1,23,1.962839161708197
hardly,2,111,0.6919852514151037
ever,6,266,1.0160811829851761
allows,1,1,6.48640111776521
husband,2,91,0.9786064775665134
interfere,1,12,2.9014386170440534
bowes,1,1,6.48640111776521
telling,1,56,0.6790461957076057
affairs,4,35,3.357118100820243
grace,2,21,3.094083694986449
lily,1,1,6.48640111776521
why,5,252,0.8310492891526555
she,36,4261,-0.4006502169706973
heroine,1,7,3.6790461957076053
harriet,1,249,-1.4736008143028714
let,1,198,-1.1429555023144
me,26,1120,1.0575578189613355
hear,4,149,1.2672325973030483
talking,1,99,-0.14295550231439993
way,2,270,-0.5904144792856211
pretty,2,224,-0.32095380429239434
serious,1,20,2.1644730228778473
thing,2,162,0.14655111488058492
've,2,353,-0.9771232555059707
talked,1,43,1.0601363630631118
freshness,1,4,4.486401117765209
off,6,237,1.1826203695881068
like,6,536,0.005274428028593447
poor,3,231,0.21961457707030835
molly,29,2165,0.26423080327869447
own,5,385,0.21961457707030835
swallowed,1,2,5.48640111776521
before,5,514,-0.19729533654130604
next,4,123,1.5438866124259698
spoke,3,136,0.9839007772360265
could,10,744,0.2691704015445407
will,12,605,0.830572286324409
hope,3,101,1.4131521357345713
other,5,253,0.8253356379582619
dearly,7,17,5.2062931985724745
childlike,1,2,5.48640111776521
gush,1,4,4.486401117765209
sprang,1,5,4.164473022877847
father,5,531,-0.24423883815158148
heart,4,190,0.9165455094342619
instinct,1,22,2.0269694991279126
see,4,480,-0.4204894778433087
again,1,314,-1.8082196311264171
taking,1,67,0.4203119273074373
hand,2,194,-0.113511724421918
displeased,1,15,2.579510522156691
lost,2,50,1.8425449279904849
going,2,288,-0.6835238836771027
married,1,113,-0.3337778446499779
cases,1,9,3.3164761163228973
setting,1,9,3.3164761163228973
question,1,82,0.1288491131471259
entirely,2,22,3.026969499127912
on,9,1416,-0.8112794308754753
side,1,92,-0.037160838291803173
glad,3,118,1.1887205691245248
told,3,247,0.12299638690168808
become,2,54,1.7315136156017412
better,3,203,0.4060277013011897
acquainted,1,13,2.7859613996241173
learn,2,26,2.7859613996241173
hyacinth,1,14,2.6790461957076057
right,1,149,-0.7327674026969517
thank,2,51,1.813975775793714
good,4,448,-0.32095380429239434
are,7,572,0.13388470304442449
many,1,196,-1.1283087263499985
shall,2,301,-0.7472185589944923
sha,1,23,1.962839161708197
ah,4,58,2.6284201226376376
'll,8,395,0.8606922747007444
always,6,346,0.6367353908496411
handsome,1,50,0.842544927990485
assurance,1,3,4.901438617044053
strange,1,36,1.3164761163228973
woman,1,119,-0.4084166455427338
dinner,1,125,-0.47938316689687743
punctuality,1,3,4.901438617044053
great,3,331,-0.2993237883208518
action,1,20,2.1644730228778473
try,1,81,0.14655111488058492
wo,3,147,0.8716912736500015
tell,7,357,0.813975775793714
individuality,1,1,6.48640111776521
quenching,1,2,5.48640111776521
warm,1,31,1.5322048073783343
true,9,81,3.3164761163228973
desires,1,4,4.486401117765209
made,4,360,-0.005451978564465004
preparing,1,8,3.48640111776521
wedding,1,49,0.8716912736500015
illustrationeanwhile,1,1,6.48640111776521
between,5,136,1.720866371402233
middle,1,30,1.5795105221566912
aged,1,14,2.6790461957076057
couple,1,16,2.48640111776521
by,7,992,-0.6604402705640614
maternal,1,3,4.901438617044053
diminished,1,3,4.901438617044053
value,1,15,2.579510522156691
affixed,1,3,4.901438617044053
story,2,37,2.2769477521362598
browning,2,174,0.043457621916481344
held,1,59,0.6037580684033685
up,3,839,-1.6411633819534575
course,2,143,0.3265297809868203
smooth,1,11,3.026969499127912
phobe,3,130,1.0489958054579114
idea,1,78,0.2009988989029614
knows,1,47,0.9318122660875723
nothing,1,178,-0.989332313201188
about,2,740,-2.0449803427511024
generally,1,19,2.2384736043216242
saw,3,188,0.5167747668087285
appetite,1,14,2.6790461957076057
thought,5,489,-0.12536144229966167
third,2,15,3.579510522156691
helping,1,9,3.3164761163228973
memory,1,15,2.579510522156691
their,4,457,-0.3496492372928601
winced,2,3,5.901438617044053
jeannie,2,1,7.48640111776521
never,10,551,0.7024207040814143
second,1,35,1.3571181008202433
no,10,798,0.16808427643022636
nor,3,86,1.6450988637842678
now,5,671,-0.5818397435476116
come,4,528,-0.5579930015932437
hearing,1,31,1.5322048073783343
murmured,2,8,4.486401117765209
then,4,560,-0.6428818991797568
friends,1,84,0.0940836949864493
future,2,49,1.8716912736500015
wife,2,212,-0.24151933679798945
sake,2,42,2.094083694986449
rampant,1,1,6.48640111776521
know,5,715,-0.6734702190131796
which,11,967,0.028460656925665746
exactly,1,39,1.2009988989029614
gratified,2,13,3.7859613996241173
power,1,41,1.1288491131471259
disposal,1,2,5.48640111776521
money,2,140,0.3571181008202432
whole,1,68,0.3989382765148703
highest,1,4,4.486401117765209
completest,1,1,6.48640111776521
looked,1,167,-0.8973031747088425
find,4,129,1.4751738623419555
grand,1,27,1.7315136156017412
misunderstood,2,6,4.901438617044053
perhaps,2,210,-0.22784439990091299
renewing,1,3,4.901438617044053
bear,1,67,0.4203119273074373
contradict,1,5,4.164473022877847
look,2,224,-0.32095380429239434
confidence,1,38,1.2384736043216242
suddenly,1,78,0.2009988989029614
pound,1,12,2.9014386170440534
left,2,178,0.010667686798811866
though,1,239,-1.4144656902155388
