collocate,collocate_count,corpus_count,MI
marriage,2,52,2.1309739322560226
was,22,2243,0.1596313639481399
for,23,1376,0.9287108517520299
his,31,2843,0.3124115771064627
wife,3,107,1.674909164717124
bloodless,1,1,6.831413650397114
in,27,2214,0.4738616457790313
their,2,321,-0.4950158367251882
passages,1,6,4.246451149675958
and,66,5428,0.4696027643367143
at,4,987,-1.1154926240592828
subsequent,1,3,5.246451149675959
sentimental,1,16,2.831413650397115
alliterative,1,2,5.831413650397114
poem,1,3,5.246451149675959
of,46,4280,0.2915805251656186
diaper,1,12,3.2464511496759583
had,7,1318,-0.7253660825533327
been,3,328,0.05882414650018731
noble,1,33,1.7870195310386612
to,34,5384,-0.47558620296286297
the,52,8208,-0.4709616470688471
one,7,567,0.4915636475124902
heart,2,180,0.3395605540674403
upon,3,201,0.7653244599393425
save,1,44,1.3719820317598177
a,23,3767,-0.524224711493265
son,6,203,1.7510402339330948
if,4,491,-0.10816556391757824
immeasurable,1,1,6.831413650397114
were,3,445,-0.38128537473548907
perfect,1,15,2.924523054788596
wisdom,1,33,1.7870195310386612
another,2,92,1.307851694340102
alas,1,13,3.1309739322560226
divine,1,16,2.831413650397115
as,8,1109,-0.28362999976459513
it,18,2152,-0.07012371071719684
wise,1,102,0.15898830842561926
do,4,789,-0.7924678396163436
comic,1,2,5.831413650397114
muse,1,3,5.246451149675959
's,25,1768,0.687367280780408
chaste,1,12,3.2464511496759583
but,19,750,1.5285943784574572
lax,1,1,6.831413650397114
boy,2,208,0.1309739322560226
bosom,1,43,1.405148895695017
is,22,1033,1.2782207301693527
that,21,2043,0.22725758444264788
blessed,1,15,2.924523054788596
attributed,1,4,4.831413650397115
daughters,1,7,4.0240587283395115
judge,1,8,3.831413650397115
her,21,2111,0.18002020982871936
let,3,146,1.226551592238254
this,3,543,-0.6684322366860905
him,15,1721,-0.010727136034570097
every,3,89,1.9406427201518734
form,3,26,3.7159364329771787
i,44,2646,0.9212479227557354
mean,1,49,1.2167038062819067
so,9,569,0.8490538095328453
much,1,199,-0.805210970146534
hear,2,89,1.355680219430717
mention,1,9,3.6614886489548026
dangerous,1,12,3.2464511496759583
idol,1,7,4.0240587283395115
also,2,46,2.307851694340102
kind,1,56,1.0240587283395108
inane,1,1,6.831413650397114
poetry,1,16,2.831413650397115
such,2,166,0.45637421905019004
like,4,342,0.413561135511217
beauty,1,70,0.7021306334521484
waken,1,2,5.831413650397114
returned,1,48,1.2464511496759587
baronet,1,207,-0.8620733071022103
bad,2,78,1.5460114315348665
we,12,450,1.602594959901234
virtue,1,18,2.6614886489548026
truth,1,32,1.831413650397115
they,4,631,-0.47008254458543425
only,1,196,-0.7832961937180933
ever,2,88,1.3719820317598177
sweet,2,77,1.5646271097022133
must,7,286,1.4788972356763297
deserve,1,5,4.509485555509753
us,7,139,2.5198274997312113
ripe,1,10,3.5094855555097526
seldom,1,11,3.371982031759818
occurs,1,1,6.831413650397114
eyes,1,222,-0.9630022159529908
young,7,397,1.005773375311761
has,4,314,0.536792901505488
thousand,2,17,3.7439508091467757
where,2,186,0.29225483928908347
then,5,357,0.6735614812553775
reclined,1,4,4.831413650397115
breast,1,23,2.307851694340102
opens,1,2,5.831413650397114
whole,1,28,2.0240587283395106
laugh,1,46,1.307851694340102
treat,1,16,2.831413650397115
an,2,545,-1.2586987692671738
honest,2,18,3.6614886489548026
forward,1,23,2.307851694340102
back,3,130,1.3940083380898165
electric,1,4,4.831413650397115
messenger,2,3,6.246451149675958
making,2,29,2.973432655269543
declaring,1,3,5.246451149675959
men,2,151,0.593008911072036
whose,1,53,1.1034931958339156
self,2,41,2.4738616457790314
wounded,1,11,3.371982031759818
by,7,651,0.29225483928908347
have,8,910,0.001690915311056379
fallen,1,13,3.1309739322560226
with,9,1079,-0.07414049764858971
she,16,1598,0.18936195746913823
penny,2,4,5.831413650397114
whistle,2,6,5.246451149675959
musical,1,3,5.246451149675959
instrument,1,13,3.1309739322560226
tenderness,1,12,3.2464511496759583
spoken,1,28,2.0240587283395106
perhaps,2,62,1.8772173400102397
played,1,13,3.1309739322560226
tune,1,6,4.246451149675958
couple,1,28,2.0240587283395106
whom,2,52,2.1309739322560226
simple,1,21,2.4390962276183545
bread,1,16,2.831413650397115
happy,2,90,1.3395605540674402
sheep,1,5,4.509485555509753
bop,1,1,6.831413650397114
irradiated,1,2,5.831413650397114
angels,1,12,3.2464511496759583
unfold,1,1,6.831413650397114
pipe,3,22,3.9569445324809736
on,5,990,-0.7979429696824948
no,5,542,0.07119270393060567
more,8,264,1.7870195310386612
time,1,188,-0.7231752012805224
notes,1,14,3.024058728339511
which,3,332,0.041336719771346224
silent,1,25,2.18755746062239
out,3,354,-0.05122939896472639
victories,1,1,6.831413650397114
tale,1,8,3.831413650397115
master,3,60,2.5094855555097526
richard,12,1037,0.39817597230504526
none,2,49,2.2167038062819064
pity,1,19,2.5834861369535296
me,26,725,2.0300161836359103
tireless,1,1,6.831413650397114
lucy,7,336,1.2464511496759587
white,1,45,1.3395605540674402
angel,3,19,4.168448637674685
dear,3,224,0.609021229060667
he,28,3495,-0.13230816780807986
met,1,49,1.2167038062819067
you,39,2207,1.0089449549797491
better,5,98,2.538631901169269
because,3,80,2.0944480562309087
all,4,504,-0.1458662731028015
now,7,423,0.9142547193347691
beautiful,3,31,3.4621798407313955
love,16,253,2.848420075702805
my,26,768,1.946890867817051
father,4,260,0.8090458373686604
does,4,114,1.998523636232373
will,5,452,0.33316278286928946
what,5,680,-0.25604919085322453
comes,1,50,1.1875574606223902
lady,7,325,1.2944726645389022
tear,1,12,3.2464511496759583
think,5,287,0.9884348186087893
who,9,398,1.3647140312957784
are,3,447,-0.38775487006504666
nuns,1,4,4.831413650397115
ashamed,1,16,2.831413650397115
fear,2,33,2.7870195310386614
nothing,1,159,-0.4814693048872406
come,1,268,-1.2346755400606575
both,2,82,1.4738616457790312
kindness,1,7,4.0240587283395115
n't,7,640,0.3168404775673566
declare,1,7,4.0240587283395115
everybody,1,28,2.0240587283395106
everything,1,28,2.0240587283395106
tone,1,24,2.2464511496759587
wafted,1,1,6.831413650397114
darling,5,50,3.5094855555097526
shall,3,181,0.9165302640350657
be,4,1068,-1.229282281290439
rests,1,2,5.831413650397114
o,4,122,1.9006763128342283
heaven,1,56,1.0240587283395108
said,4,802,-0.8160447760578053
oh,2,170,0.42202271425941307
morrow,2,59,1.9487706010352737
heavens,1,10,3.5094855555097526
evidently,1,8,3.831413650397115
benson,1,99,0.20205703031750516
seeing,2,31,2.8772173400102394
daresay,1,10,3.5094855555097526
your,4,413,0.14141567897766955
excited,1,12,3.2464511496759583
beginning,1,21,2.4390962276183545
see,1,355,-1.6402615639949296
raynham,1,121,-0.0874495868774796
old,2,263,-0.20750533889518746
place,1,46,1.307851694340102
fortifications,1,1,6.831413650397114
round,1,56,1.0240587283395108
himself,2,172,0.405148895695017
dinner,1,55,1.0500539368724553
our,2,146,0.6415890915170976
ordeal,1,13,3.1309739322560226
any,3,156,1.1309739322560226
human,1,47,1.2768247987194776
touched,1,21,2.4390962276183545
hot,1,16,2.831413650397115
blood,1,63,0.8541337268971985
know,4,365,0.3196609966297354
care,1,51,1.1589883084256192
or,2,353,-0.6321107228740654
return,1,41,1.4738616457790312
fancying,1,4,4.831413650397115
themselves,1,24,2.2464511496759587
when,3,463,-0.4384922321419654
might,2,181,0.3315677633139094
analyze,1,1,6.831413650397114
anatomize,1,1,6.831413650397114
woman,3,241,0.5034868148883094
missed,1,4,4.831413650397115
night,1,164,-0.5261383542209688
would,3,508,-0.572308535653895
forgive,1,25,2.18755746062239
london,1,32,1.831413650397115
certain,1,56,1.0240587283395108
little,2,248,-0.12278265998976033
pretend,1,8,3.831413650397115
not,14,1432,0.1549527951904627
strange,1,52,1.1309739322560226
wordsworth,1,2,5.831413650397114
best,1,77,0.5646271097022134
excessive,2,9,4.661488648954802
took,1,105,0.1171681327309922
spirit,1,28,2.0240587283395106
brought,1,49,1.2167038062819067
tears,1,41,1.4738616457790312
rarely,1,4,4.831413650397115
even,2,64,1.831413650397115
fondly,1,3,5.246451149675959
stricken,1,2,5.831413650397114
state,1,35,1.7021306334521482
least,1,27,2.0765261482336466
pledges,1,1,6.831413650397114
hues,1,3,5.246451149675959
epithet,1,4,4.831413650397115
nest,1,9,3.6614886489548026
myself,2,49,2.2167038062819064
sir,3,417,-0.2875274223263926
natural,1,37,1.6219602847681651
why,2,162,0.4915636475124902
bit,2,33,2.7870195310386614
tell,2,138,0.7228891936189459
than,2,227,0.00486516310619998
show,1,38,1.5834861369535294
sacred,2,7,5.024058728339511
forgetful,1,3,5.246451149675959
drowned,1,5,4.509485555509753
weed,1,4,4.831413650397115
died,1,11,3.371982031759818
doctor,2,45,2.33956055406744
fiery,1,3,5.246451149675959
say,2,282,-0.3081377020016786
thing,2,96,1.2464511496759587
struck,1,42,1.4390962276183545
low,1,24,2.2464511496759587
earthly,1,7,4.0240587283395115
victorious,1,2,5.831413650397114
enemy,1,14,3.024058728339511
science,1,32,1.831413650397115
trusted,1,2,5.831413650397114
eternal,1,5,4.509485555509753
dying,1,4,4.831413650397115
sentimentalism,1,2,5.831413650397114
