collocate,collocate_count,corpus_count,MI
hand,4,272,-0.08440624183060182
and,174,9873,0.17672728342296057
play,1,25,1.359200409645013
with,30,954,1.0121017390227447
her,70,3268,0.45814734821902053
a,15,2005,-1.0594393263140265
lovely,2,52,1.3026168812786454
child,1,92,-0.5205053566372752
she,32,2912,-0.5047380407789585
was,21,1784,-0.40552587772180687
that,41,2283,0.20389345981311965
had,12,921,-0.25903824595044184
no,10,427,0.5868924346866096
call,1,31,1.0488602890328624
to,37,3523,-0.5700787944462762
honour,4,20,3.681128504532375
mistress,2,67,0.9369674089619652
took,3,171,0.17016658525499606
clearer,1,3,4.418094098698581
much,6,167,1.2043148076668415
of,104,3683,0.8568306356610917
thee,47,986,1.6122016147194633
before,2,297,-1.211262521381028
the,93,7692,-0.36692763681212814
mere,2,15,3.096166003811219
should,3,167,0.20431480766684162
overtake,1,2,5.003056599419738
him,13,586,0.508739463138582
turn,1,36,0.8331315979774253
his,16,534,0.9423606677321835
speech,2,51,1.330631257448242
into,7,384,0.22544902075618564
folly,1,9,2.833131597977425
madness,1,1,6.003056599419737
desire,5,34,3.2375218530567604
so,17,1002,0.12185264747486857
thou,36,1278,0.8533094799150556
wisp,1,1,6.003056599419737
forsooth,2,121,0.08419336214514297
art,8,191,1.4256277713839889
in,18,1516,-0.3930724373090418
thy,19,452,1.4308051504481352
looks,1,2,5.003056599419738
though,6,235,0.711502153575894
knowest,1,14,2.1957016773621336
womanhood,1,6,3.4180940986985813
all,17,774,0.4943296845256667
those,5,113,1.5048057318919121
shall,14,397,1.1774163243343838
worship,1,6,3.4180940986985813
mayst,2,63,1.0257766759198212
have,11,662,0.09180081124981714
sweetness,3,21,3.1957016773621336
or,6,417,-0.11588447330376983
glory,1,3,4.418094098698581
dominion,1,3,4.418094098698581
think,1,60,0.09616600381121908
draw,1,16,2.003056599419738
unto,6,245,0.6513811611383232
but,20,1774,-0.467805599993964
scarce,2,91,0.49526195922104144
i,48,2108,0.5463599485036792
say,1,118,-0.8795864499421036
an,4,162,0.6632065965351129
outcast,1,4,4.003056599419738
shalt,3,102,0.9155937581693981
mockery,1,4,4.003056599419738
man,6,229,0.7488153120439498
woman,1,147,-1.1966157454166269
aid,1,1,6.003056599419737
pray,5,67,2.2588955038493275
by,13,496,0.7493000071739545
forbid,1,7,3.1957016773621336
me,38,971,1.3276566274441308
not,29,1133,0.7151054487267939
this,11,667,0.08094526687244985
forget,2,9,3.8331315979774256
my,22,675,1.0637445261188416
sorrow,2,38,1.7551290859761521
for,61,1472,1.4102319809256112
grief,3,60,1.6811285045323754
heart,6,223,0.787119200220589
is,15,853,0.17354526370996587
mingled,1,7,3.1957016773621336
some,4,237,0.11431335052147837
toward,4,127,1.0143719126475719
whereof,1,37,0.7936032337907878
as,20,1342,-0.06518426189308349
erst,1,45,0.5112035030900628
more,6,307,0.32592425477071457
great,2,161,-0.32786027869487927
betwixt,5,63,2.347704770807183
them,14,667,0.4288685702927566
at,6,611,-0.6670094696778357
last,4,162,0.6632065965351129
when,10,618,0.05352166640272536
may,7,370,0.2790300609610296
blood,3,39,2.3026168812786456
are,2,143,-0.15681473735865187
we,15,881,0.12694898610784244
fellowship,1,24,1.4180940986985815
doubt,1,29,1.1450756042921655
evil,1,86,-0.4232081552823603
must,8,204,1.330631257448242
therewith,6,163,1.2392909459098163
drew,2,99,0.3736999793401281
cate,1,1,6.003056599419737
deem,2,89,0.5273231684533398
could,2,85,0.5936656632820358
stranger,1,13,2.3026168812786456
unhappy,2,5,4.681128504532375
who,11,281,1.3280618978361087
smiled,1,56,0.19570167736213342
whom,8,66,2.958662480061284
love,14,194,2.210498679290214
us,10,437,0.5534952248065016
be,15,980,-0.026690743974314403
queans,1,5,3.681128504532375
carles,1,13,2.3026168812786456
our,6,300,0.3592004096450129
aliens,1,1,6.003056599419737
till,1,189,-1.559185824801335
overcometh,1,1,6.003056599419737
causeth,1,1,6.003056599419737
good,1,177,-1.4645489506632596
will,6,520,-0.4343487128875607
because,6,82,2.23046709552281
their,9,326,0.8242534466309724
might,5,424,-0.40293576025609923
truth,2,16,3.0030565994197373
hotness,1,1,6.003056599419737
looked,1,263,-2.0358623898725647
up,5,433,-0.4332385204196248
viridis,2,130,-0.019311213608716807
thereat,1,37,0.7936032337907878
from,10,593,0.11309639976109628
longing,3,38,2.340091586697308
hot,2,21,2.610739176640977
now,11,860,-0.2857046315324253
atra,6,147,1.3883467553045294
blush,1,1,6.003056599419737
less,5,60,2.4180940986985817
sooth,1,47,0.4484677477421002
concerning,1,31,1.0488602890328624
yet,7,378,0.24816909725626904
about,5,262,0.29156169276964955
learned,1,29,1.1450756042921655
somewhat,1,205,-1.6764235000857084
even,3,168,0.19570167736213342
ere,1,84,-0.38926082335902273
o,1,57,0.17016658525499606
such,7,140,1.6811285045323754
any,2,141,-0.1364947529790559
loved,2,37,1.7936032337907877
withal,1,83,-0.371982831927187
dear,3,133,0.5327366646397043
sister,4,56,2.1957016773621336
fail,2,15,3.096166003811219
needs,2,77,0.7362700587248361
it,24,1822,-0.24328814366115692
said,11,1195,-0.760306684811076
yea,3,114,0.7551290859761521
come,3,391,-1.0230056971664585
surely,1,28,1.1957016773621334
each,4,71,1.8533094799150558
three,1,179,-1.4807591778445188
they,9,1054,-0.8686775507751645
endured,1,3,4.418094098698581
old,1,109,-0.7651277253571886
time,1,203,-1.6622793177654385
perilous,1,12,2.4180940986985817
death,1,46,0.47949464336272474
stood,3,209,-0.1193400319399889
wept,5,46,2.801422738250087
bewailed,2,2,6.003056599419737
slain,1,26,1.3026168812786454
men,5,181,0.8251388072238947
were,4,734,-1.5165796534234752
true,4,43,2.57679184471764
take,2,137,-0.09497548354078912
let,3,132,0.5436249807824403
champions,1,34,0.9155937581693981
ye,5,270,0.24816909725626904
fight,2,5,4.681128504532375
knight,3,195,-0.019311213608716807
lady,1,179,-1.4807591778445188
fleeing,1,11,2.5436249807824405
war,1,18,1.8331315979774252
mishap,1,3,4.418094098698581
lend,1,5,3.681128504532375
give,2,73,0.8132320405397203
therefore,1,26,1.3026168812786454
save,4,170,0.5936656632820358
green,2,137,-0.09497548354078912
own,4,80,1.6811285045323754
gave,2,63,1.0257766759198212
