collocate,collocate_count,corpus_count,MI
﻿the,1,1,3.1167453539412406
history,6,31,0.7475115442755215
of,384,5497,-0.7227209093753647
henry,13,85,0.40779413594463104
esmond,86,1244,-0.737760661487264
book,5,36,0.2687484473862904
the,697,10188,-0.7528230444645311
early,2,43,-1.3095194007608575
youth,5,29,0.5806924537010307
affairs,3,22,0.24227623602509946
common,3,19,0.4537803412188112
people,9,101,-0.3715411273682418
have,342,818,1.8586408358853894
seen,18,84,0.8943529326047924
in,246,3004,-0.4934092382337914
his,115,3318,-1.7338627660702475
very,50,481,-0.1492915400540768
old,40,293,0.24391659440635494
him,197,1473,0.2142554583617674
or,53,647,-0.49295609348806785
monsieur,11,52,0.8757372544374455
fagon,1,1,3.1167453539412406
surgeon,1,13,-0.5836943641998515
wonder,7,27,1.169212773835376
shall,99,153,2.4887141313281984
ever,40,233,0.5744873041743226
pull,1,1,3.1167453539412406
off,12,126,-0.2755720688375198
and,827,8250,-0.20168953090802522
england,8,104,-0.5836943641998515
besides,3,29,-0.15627314046517535
versailles,2,4,2.1167453539412406
windsor,1,7,0.30939043188363646
saw,36,122,1.3559330178206666
queen,7,125,-1.0416840086632424
anne,1,16,-0.8832546460587594
at,101,1442,-0.7188986125477872
latter,1,22,-1.3426862646960567
kneeling,1,22,-1.3426862646960567
to,552,4884,-0.028577674267993725
end,15,86,0.5973711948476611
time,17,273,-0.8885489457282725
am,181,150,3.3877725505285654
for,188,1494,0.12636977282964076
having,8,127,-0.8719393328309253
her,170,2018,-0.45257416902741493
rise,3,10,1.3797797597750343
up,13,371,-1.718090304538471
sovereign,1,26,-1.5836943641998515
a,414,4210,-0.22937220651319268
word,22,85,1.166786036440836
would,152,606,1.1214988839118751
familiar,2,16,0.11674535394124051
rather,20,98,0.8239636047133947
than,42,453,-0.31430446332623424
whom,15,206,-0.6628645776334593
story,5,53,-0.28924700573459633
whereof,3,27,-0.05317964750107186
myself,32,33,3.072351234582787
was,183,2737,-0.7859345271396735
author,1,5,0.794817259053878
got,7,117,-0.94626444358456
drew,1,8,0.11674535394124051
boot,1,4,1.1167453539412404
from,67,717,-0.30299476430289174
other,23,295,-0.5642638342509503
heard,27,96,1.2866703553835528
that,328,2436,0.22399894065299192
lord,98,991,-0.2212860491300395
dozen,6,36,0.5317828532200842
english,7,85,-0.4852906601388571
scottish,1,5,0.794817259053878
houses,2,22,-0.3426862646960568
could,73,382,0.729141084785509
name,26,131,0.7837620705448822
prouder,1,1,3.1167453539412406
exile,1,12,-0.4682171467799157
kinsmen,1,4,1.1167453539412404
suppose,16,25,2.472889164166516
should,81,284,1.3068482373211832
be,121,801,0.38995015880712486
silent,1,19,-1.131182159502345
nor,15,119,0.12881818624181557
if,90,374,1.0617039903832786
he,176,2713,-0.8294963597033284
traces,1,4,1.1167453539412404
course,3,37,-0.5077455109665531
them,48,396,0.07235123458278706
too,42,242,0.5901995394454064
much,19,220,-0.41668684613983364
success,1,8,0.11674535394124051
on,98,962,-0.17843788571359318
last,25,119,0.8657837804080216
journey,1,18,-1.053179647501072
tyburn,2,4,2.1167453539412406
look,20,146,0.2488488899485856
into,23,273,-0.45244983092159896
my,410,1727,1.0421730859177623
heart,24,154,0.43492131396749534
think,126,188,2.53943642576352
sin,4,10,1.794817259053878
as,201,1843,-0.0800433105105441
good,35,283,0.10137012805432452
mayor,1,2,2.1167453539412406
know,165,232,2.625086573059484
bad,2,19,-0.13118215950234505
jack,5,35,0.30939043188363646
pudding,1,3,1.5317828532200843
before,43,321,0.2165806215210353
me,165,529,1.4359436560730305
play,12,64,0.7017078546623968
part,13,143,-0.3426862646960568
alderman,1,2,2.1167453539412406
with,150,1754,-0.43086898800761164
purse,2,7,1.3093904318836365
will,122,350,1.596271579671798
take,30,154,0.7568494088548576
it,232,1372,0.5526615828960004
i,538,1826,1.3537366665136426
deservedly,1,1,3.1167453539412406
hanged,1,8,0.11674535394124051
say,102,208,2.0887309777716436
you,524,1336,1.7664640630046387
put,20,125,0.47288916416651566
an,41,385,-0.11441727702293955
this,85,828,-0.16735066742038293
prosing,2,1,4.116745353941241
do,133,283,2.027369546610548
n't,94,171,2.25348169073298
no,118,615,0.7349458030764795
ca,20,29,2.580692453701031
but,151,909,0.5270136090722123
accept,4,9,1.946820352498928
world,19,136,0.2772100261344865
find,9,49,0.6719605112683446
including,1,2,2.1167453539412406
rope,1,1,3.1167453539412406
's,150,1887,-0.536314663163324
black,8,59,0.23410230457939932
coat,4,28,0.30939043188363646
melted,1,4,1.1167453539412404
indeed,30,181,0.5237900624665536
she,149,1287,0.006117536182700276
hath,17,142,0.054461075686897745
since,8,98,-0.49796449017396766
owned,1,32,-1.8832546460587591
thou,12,32,1.7017078546623967
art,6,16,1.7017078546623967
hard,7,41,0.5665482713807608
please,8,33,1.072351234582787
rachel,8,21,1.7244279311624802
happy,13,57,0.984295057917591
where,23,291,-0.5445680329100304
are,59,355,0.5277131889110374
father,22,294,-0.6234953722578267
slain,1,7,0.30939043188363646
defending,1,4,1.1167453539412404
two,15,263,-1.0152830397425434
years,28,181,0.42425438891563916
then,19,205,-0.31480723212061995
ninety,1,1,3.1167453539412406
how,35,206,0.5595278437029886
kinsman,10,60,0.5317828532200842
harry,73,579,0.12915037483202124
thirty,6,11,2.2422762360251
says,156,555,1.2858036115660205
twenty,11,45,1.0843238762488632
frank,24,214,-0.03975913173875022
anything,18,44,1.8272387367462557
promise,10,20,2.1167453539412406
grow,6,15,1.794817259053878
older,8,26,1.4163056358001482
every,9,92,-0.23689160067346002
day,30,270,-0.05317964750107186
said,119,517,0.9975426469342495
blushed,6,17,1.6142450134120572
supper,3,33,-0.3426862646960568
mrs,6,62,-0.25248845572447853
worksop,2,5,1.794817259053878
mother,33,231,0.30939043188363646
once,14,122,-0.0066370615640417
more,36,447,-0.5174606657997647
