collocate,collocate_count,corpus_count,MI
and,148,8250,0.658638269204197
honest,2,53,1.7314428530325885
people,2,101,0.801151824843993
educate,1,2,5.459363307595788
me,17,529,1.4997022367321013
to,72,4884,0.375440824050697
dice,1,7,3.652008385538184
gin,1,1,6.459363307595788
pleasure,2,41,2.101811302977704
put,3,125,1.078541523654857
order,2,26,2.758923589454696
were,9,765,0.04997237145808595
ready,2,51,1.7869379656242923
undergo,1,4,4.459363307595788
by,7,785,-0.3498306141255975
a,36,4210,-0.41031620891565834
brightness,1,6,3.8744008068746316
of,67,5497,0.10102373401579887
wit,1,31,1.5051669972089126
owe,1,9,3.2894383061534755
him,18,1473,0.10474659400225106
there,9,482,0.7163989728081386
was,19,2737,-0.7110888983255831
little,4,461,-0.3892596328335501
between,3,98,1.4296159642017359
the,68,10188,-0.7677570954280675
two,3,263,0.005406819024641624
families,1,8,3.4593633075957877
my,16,1727,-0.29468905993313643
lady,4,593,-0.7525249869502161
's,14,1887,-0.6151604779470534
mother,7,231,1.4149691882373343
more,4,447,-0.3447677135875299
than,7,453,0.44335098960715674
formerly,2,8,4.459363307595788
are,5,355,0.30961618809110564
some,2,201,-0.19168838358314078
injuries,1,3,4.874400806874632
it,17,1372,0.12476138267331498
he,19,2713,-0.6983825112424926
felt,2,55,1.6780035940711282
no,9,615,0.364845708811498
towards,2,85,1.049972371458086
man,8,352,0.9999316889584905
who,13,820,0.48032292623143386
had,15,1814,-0.4587048373242161
most,3,176,0.5848941896796468
honor,3,138,0.935801351538775
his,26,3318,-0.5362951452189832
own,1,270,-1.6174522894550432
did,5,322,0.4503745243685332
you,32,1336,1.0756590151217356
lord,2,991,-2.4933779395907005
castlewood,4,553,-0.6517723626389192
i,49,1826,1.239602101726774
wait,1,34,1.3719004663454484
until,2,65,1.4369954945673336
blush,1,21,2.067045884817028
whom,5,206,1.0947908752999316
could,6,382,0.46689698028119536
neither,1,31,1.5051669972089126
nor,3,119,1.1495080450090005
revere,1,2,5.459363307595788
sickened,1,4,4.459363307595788
boy,3,158,0.7405450601398411
full,3,35,2.915042791371978
longed,1,8,3.4593633075957877
as,19,1843,-0.14054953459133984
lay,1,68,0.37190046634544827
ever,5,233,0.9171052578288698
since,1,98,-0.15534653651942035
caused,1,33,1.4149691882373343
thee,1,31,1.5051669972089126
poor,2,275,-0.6439245008162341
fatherless,1,2,5.459363307595788
motherless,1,1,6.459363307595788
lad,2,71,1.3096161880911057
praiseworthy,1,3,4.874400806874632
discretion,1,2,5.459363307595788
confided,1,3,4.874400806874632
harry,8,579,0.2819437696065511
for,25,1494,0.5582550645812754
vintner,1,2,5.459363307595788
daughter,2,86,1.0330985528936898
near,1,57,0.6264732934310463
though,2,231,-0.3923857338202696
smiled,1,19,2.211435794152202
see,3,205,0.364845708811498
lorn,1,1,6.459363307595788
