         8045514 function calls (7978869 primitive calls) in 9.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1370/1    0.018    0.000    9.630    9.630 {built-in method builtins.exec}
        1    0.000    0.000    9.630    9.630 collocate_multi_words.py:1(<module>)
        1    0.000    0.000    6.953    6.953 collocate_multi_words.py:18(main)
       93    0.004    0.000    4.676    0.050 __init__.py:1(<module>)
        1    0.000    0.000    4.349    4.349 collocate_single_text.py:39(get_doc)
      751    0.249    0.000    4.346    0.006 tokenizer.pyx:148(_tokenize_affixes)
        1    0.000    0.000    4.333    4.333 collocate_single_text.py:35(tokenize_doc)
        1    0.000    0.000    4.332    4.332 tokenizer.pyx:135(__call__)
   197415    0.158    0.000    4.051    0.000 tokenizer.pyx:376(_tokenize)
   1378/2    0.010    0.000    2.676    1.338 <frozen importlib._bootstrap>:1002(_find_and_load)
   1377/2    0.007    0.000    2.676    1.338 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1095/2    0.007    0.000    2.675    1.338 <frozen importlib._bootstrap>:659(_load_unlocked)
    899/2    0.003    0.000    2.675    1.337 <frozen importlib._bootstrap_external>:844(exec_module)
   1496/3    0.002    0.000    2.670    0.890 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    2.668    2.668 collocate_single_text.py:1(<module>)
        2    0.000    0.000    2.353    1.177 collocate_single_text.py:66(collocate_pipeline)
   197415    0.646    0.000    2.268    0.000 tokenizer.pyx:433(_attach_tokens)
        2    0.000    0.000    2.200    1.100 series.py:4247(apply)
        2    0.000    0.000    2.200    1.100 apply.py:1029(apply)
        2    0.000    0.000    2.200    1.100 apply.py:1080(apply_standard)
     1003    1.956    0.002    2.199    0.002 collocate_single_text.py:28(count_words)
        2    0.002    0.001    2.198    1.099 {pandas._libs.lib.map_infer}
     1001    0.001    0.000    2.196    0.002 collocate_single_text.py:68(<lambda>)
   514/55    0.002    0.000    1.650    0.030 {built-in method builtins.__import__}
   197415    0.366    0.000    1.600    0.000 tokenizer.pyx:388(_split_affixes)
 1100/668    0.003    0.000    1.171    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
   235968    0.826    0.000    0.869    0.000 tokenizer.pyx:544(find_suffix)
   236794    0.151    0.000    0.859    0.000 vocab.pyx:141(get)
    14921    0.256    0.000    0.763    0.000 vocab.pyx:175(_new_lexeme)
   187/80    0.001    0.000    0.755    0.009 <frozen importlib._bootstrap_external>:1179(exec_module)
   187/80    0.100    0.001    0.755    0.009 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.733    0.733 __init__.py:30(load)
        1    0.000    0.000    0.733    0.733 util.py:397(load_model)
        1    0.000    0.000    0.731    0.731 util.py:430(load_model_from_package)
        1    0.000    0.000    0.729    0.729 __init__.py:9(load)
        1    0.000    0.000    0.729    0.729 util.py:587(load_model_from_init_py)
        1    0.000    0.000    0.728    0.728 util.py:456(load_model_from_path)
   199468    0.625    0.000    0.661    0.000 tokenizer.pyx:516(find_infix)
        6    0.000    0.000    0.583    0.097 __init__.py:2(<module>)
        1    0.000    0.000    0.496    0.496 attributeruler.py:1(<module>)
     1572    0.007    0.000    0.452    0.000 re.py:289(_compile)
      508    0.001    0.000    0.449    0.001 re.py:250(compile)
      213    0.002    0.000    0.441    0.002 sre_compile.py:759(compile)
        6    0.000    0.000    0.438    0.073 __init__.py:3(<module>)
        1    0.000    0.000    0.366    0.366 language.py:1990(from_disk)
      9/1    0.001    0.000    0.365    0.365 util.py:1290(from_disk)
        1    0.000    0.000    0.355    0.355 util.py:492(load_model_from_config)
        1    0.000    0.000    0.345    0.345 language.py:1663(from_config)
   236311    0.303    0.000    0.343    0.000 tokenizer.pyx:530(find_prefix)
       17    0.003    0.000    0.332    0.020 tokenizer.pyx:558(_load_special_cases)
     2768    0.015    0.000    0.329    0.000 tokenizer.pyx:582(add_special_case)
        2    0.000    0.000    0.300    0.150 config.py:1(<module>)
        5    0.001    0.000    0.289    0.058 util.py:1(<module>)
2047/1998    0.071    0.000    0.286    0.000 {built-in method builtins.__build_class__}
      213    0.001    0.000    0.274    0.001 sre_parse.py:937(parse)
  918/213    0.010    0.000    0.271    0.001 sre_parse.py:435(_parse_sub)
 5110/421    0.083    0.000    0.269    0.001 sre_parse.py:493(_parse)
        1    0.000    0.000    0.250    0.250 language.py:130(__init__)
        1    0.000    0.000    0.247    0.247 language.py:85(tokenizer_factory)
     1003    0.002    0.000    0.243    0.000 <__array_function__ internals>:2(sum)
1379/1347    0.003    0.000    0.242    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1003    0.004    0.000    0.239    0.000 fromnumeric.py:2123(sum)
        1    0.004    0.004    0.235    0.235 collocate_single_text.py:43(get_word_list)
     1003    0.004    0.000    0.235    0.000 fromnumeric.py:69(_wrapreduction)
      899    0.011    0.000    0.233    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     1017    0.229    0.000    0.229    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.216    0.216 init_config.py:1(<module>)
1328/1309    0.012    0.000    0.200    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.128    0.128    0.198    0.198 collocate_single_text.py:44(<listcomp>)
1095/1091    0.003    0.000    0.182    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.181    0.181 language_distance.py:1(<module>)
        1    0.000    0.000    0.178    0.178 data_dicts.py:2(<module>)
        1    0.000    0.000    0.170    0.170 tokenizer.pyx:35(__init__)
        1    0.000    0.000    0.168    0.168 language.py:2028(<lambda>)
        1    0.000    0.000    0.168    0.168 tokenizer.pyx:745(from_disk)
        1    0.000    0.000    0.168    0.168 tokenizer.pyx:780(from_bytes)
        5    0.000    0.000    0.168    0.034 api.py:3(<module>)
     1324    0.002    0.000    0.166    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        6    0.000    0.000    0.165    0.028 api.py:1(<module>)
1325/1324    0.010    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        2    0.000    0.000    0.164    0.082 tokenizer.pyx:117(__set__)
      213    0.001    0.000    0.164    0.001 sre_compile.py:598(_code)
        1    0.000    0.000    0.162    0.162 _yaml_api.py:65(read_yaml)
        1    0.000    0.000    0.161    0.161 _yaml_api.py:52(yaml_loads)
        1    0.000    0.000    0.161    0.161 main.py:341(load)
        1    0.000    0.000    0.160    0.160 constructor.py:111(get_single_data)
        1    0.000    0.000    0.156    0.156 composer.py:70(get_single_node)
