processed 1 of 11 files
processed 11 of 11 files
         35169196 function calls (34952123 primitive calls) in 36.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1370/1    0.013    0.000   36.517   36.517 {built-in method builtins.exec}
        1    0.003    0.003   36.517   36.517 collocate_all_texts.py:1(<module>)
        1    0.005    0.005   34.546   34.546 collocate_all_texts.py:11(main)
       12    0.000    0.000   22.269    1.856 language.py:1490(pipe)
       12    0.000    0.000   22.269    1.856 language.py:1572(<genexpr>)
       11    0.000    0.000   22.269    2.024 language.py:1090(_ensure_doc)
       11    0.000    0.000   22.269    2.024 language.py:1078(make_doc)
       11    0.000    0.000   22.269    2.024 tokenizer.pyx:135(__call__)
      761    1.646    0.002   21.627    0.028 tokenizer.pyx:148(_tokenize_affixes)
  1028159    0.742    0.000   19.426    0.000 tokenizer.pyx:376(_tokenize)
       11    0.001    0.000   10.364    0.942 collocate_single_text.py:65(collocate_pipeline)
     5593    8.769    0.002    9.773    0.002 collocate_single_text.py:28(count_words)
       11    0.000    0.000    9.773    0.888 series.py:4247(apply)
       11    0.000    0.000    9.772    0.888 apply.py:1029(apply)
       11    0.001    0.000    9.772    0.888 apply.py:1080(apply_standard)
       11    0.007    0.001    9.767    0.888 {pandas._libs.lib.map_infer}
     5582    0.003    0.000    9.759    0.002 collocate_single_text.py:67(<lambda>)
  1028159    3.169    0.000    9.522    0.000 tokenizer.pyx:433(_attach_tokens)
  1028159    1.989    0.000    9.051    0.000 tokenizer.pyx:388(_split_affixes)
  1310274    4.819    0.000    5.026    0.000 tokenizer.pyx:544(find_suffix)
   994999    3.293    0.000    3.457    0.000 tokenizer.pyx:516(find_infix)
       93    0.003    0.000    3.389    0.036 __init__.py:1(<module>)
  1307892    0.756    0.000    2.338    0.000 vocab.pyx:141(get)
   1372/2    0.007    0.000    1.969    0.984 <frozen importlib._bootstrap>:1002(_find_and_load)
   1371/2    0.005    0.000    1.969    0.984 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1095/2    0.005    0.000    1.968    0.984 <frozen importlib._bootstrap>:659(_load_unlocked)
    899/2    0.002    0.000    1.968    0.984 <frozen importlib._bootstrap_external>:844(exec_module)
   1495/2    0.001    0.000    1.967    0.983 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    1.966    1.966 collocate_single_text.py:1(<module>)
  1312514    1.624    0.000    1.818    0.000 tokenizer.pyx:530(find_prefix)
       11    0.031    0.003    1.708    0.155 collocate_single_text.py:42(get_word_list)
    33626    0.555    0.000    1.632    0.000 vocab.pyx:175(_new_lexeme)
       11    0.928    0.084    1.448    0.132 collocate_single_text.py:43(<listcomp>)
   514/55    0.001    0.000    1.163    0.021 {built-in method builtins.__import__}
     5593    0.008    0.000    1.004    0.000 <__array_function__ internals>:2(sum)
7638/7528    0.011    0.000    0.999    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     5593    0.013    0.000    0.987    0.000 fromnumeric.py:2123(sum)
     5593    0.015    0.000    0.972    0.000 fromnumeric.py:69(_wrapreduction)
     5627    0.953    0.000    0.953    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1457/1025    0.002    0.000    0.851    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       11    0.113    0.010    0.692    0.063 tokenizer.pyx:226(_apply_special_cases)
  2691143    0.508    0.000    0.685    0.000 tokenizer.pyx:347(_try_specials_and_cache)
        1    0.000    0.000    0.537    0.537 __init__.py:30(load)
        1    0.000    0.000    0.537    0.537 util.py:397(load_model)
       11    0.001    0.000    0.535    0.049 collocate_single_text.py:52(create_collocate_df)
        1    0.000    0.000    0.534    0.534 util.py:430(load_model_from_package)
        1    0.000    0.000    0.533    0.533 __init__.py:9(load)
        1    0.000    0.000    0.533    0.533 util.py:587(load_model_from_init_py)
        1    0.000    0.000    0.532    0.532 util.py:456(load_model_from_path)
        6    0.000    0.000    0.522    0.087 __init__.py:2(<module>)
  1997263    0.298    0.000    0.520    0.000 doc.pyx:476(__iter__)
       11    0.110    0.010    0.500    0.045 tokenizer.pyx:286(_prepare_special_spans)
       11    0.000    0.000    0.484    0.044 collocate_single_text.py:45(find_target_idx)
       11    0.484    0.044    0.484    0.044 collocate_single_text.py:46(<listcomp>)
  1936729    0.183    0.000    0.452    0.000 doc.pyx:897(__pyx_fuse_0push_back)
   187/80    0.000    0.000    0.450    0.006 <frozen importlib._bootstrap_external>:1179(exec_module)
   187/80    0.088    0.000    0.450    0.006 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.434    0.072 __init__.py:3(<module>)
382086/242040    0.191    0.000    0.390    0.000 doc.pyx:443(__getitem__)
  2332656    0.338    0.000    0.338    0.000 token.pxd:21(cinit)
       17    0.003    0.000    0.296    0.017 tokenizer.pyx:558(_load_special_cases)
     2768    0.014    0.000    0.293    0.000 tokenizer.pyx:582(add_special_case)
      149    0.278    0.002    0.278    0.002 doc.pyx:1003(_realloc)
        1    0.000    0.000    0.267    0.267 util.py:492(load_model_from_config)
     1567    0.005    0.000    0.265    0.000 re.py:289(_compile)
    33626    0.179    0.000    0.265    0.000 lex_attrs.py:118(word_shape)
      504    0.000    0.000    0.263    0.001 re.py:250(compile)
        1    0.000    0.000    0.260    0.260 language.py:1990(from_disk)
      3/1    0.000    0.000    0.259    0.259 util.py:1290(from_disk)
        1    0.000    0.000    0.259    0.259 attributeruler.py:1(<module>)
      210    0.001    0.000    0.258    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.254    0.254 language.py:1663(from_config)
      284    0.230    0.001    0.230    0.001 {built-in method numpy.array}
        1    0.000    0.000    0.226    0.226 language.py:130(__init__)
      899    0.037    0.000    0.222    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.222    0.222 language.py:85(tokenizer_factory)
        2    0.000    0.000    0.208    0.104 config.py:1(<module>)
  2620548    0.207    0.000    0.207    0.000 tokenizer.pyx:98(__get__)
  2302270    0.199    0.000    0.199    0.000 tokenizer.pyx:74(__get__)
2047/1998    0.049    0.000    0.199    0.000 {built-in method builtins.__build_class__}
  2625028    0.194    0.000    0.194    0.000 tokenizer.pyx:90(__get__)
        5    0.000    0.000    0.185    0.037 api.py:3(<module>)
  1985040    0.173    0.000    0.173    0.000 tokenizer.pyx:82(__get__)
    33626    0.109    0.000    0.165    0.000 lex_attrs.py:22(like_num)
  1989998    0.165    0.000    0.165    0.000 tokenizer.pyx:106(__get__)
      210    0.001    0.000    0.158    0.001 sre_parse.py:937(parse)
  915/210    0.006    0.000    0.156    0.001 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.155    0.155 tokenizer.pyx:35(__init__)
 5107/418    0.046    0.000    0.154    0.000 sre_parse.py:493(_parse)
1322/1303    0.008    0.000    0.147    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.147    0.147 language.py:2028(<lambda>)
        1    0.000    0.000    0.147    0.147 tokenizer.pyx:745(from_disk)
        1    0.000    0.000    0.147    0.147 tokenizer.pyx:780(from_bytes)
