processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1371/1    0.013    0.000   30.632   30.632 {built-in method builtins.exec}
        1    0.000    0.000   30.632   30.632 collocate_all_texts.py:1(<module>)
        1    0.005    0.005   29.018   29.018 collocate_all_texts.py:13(main)
       12    0.000    0.000   19.082    1.590 language.py:1490(pipe)
       12    0.000    0.000   19.082    1.590 language.py:1572(<genexpr>)
       11    0.000    0.000   19.082    1.735 language.py:1090(_ensure_doc)
       11    0.000    0.000   19.082    1.735 language.py:1078(make_doc)
       11    0.000    0.000   19.082    1.735 tokenizer.pyx:135(__call__)
      761    1.398    0.002   18.535    0.024 tokenizer.pyx:148(_tokenize_affixes)
  1050176    0.616    0.000   16.689    0.000 tokenizer.pyx:376(_tokenize)
       11    0.001    0.000    8.316    0.756 collocate_single_text.py:100(collocate_pipeline)
  1050176    2.743    0.000    8.246    0.000 tokenizer.pyx:433(_attach_tokens)
       11    0.000    0.000    7.810    0.710 series.py:4247(apply)
     5593    6.931    0.001    7.810    0.001 collocate_single_text.py:40(count_words)
       11    0.000    0.000    7.809    0.710 apply.py:1029(apply)
       11    0.000    0.000    7.809    0.710 apply.py:1080(apply_standard)
       11    0.005    0.000    7.805    0.710 {pandas._libs.lib.map_infer}
     5582    0.002    0.000    7.799    0.001 collocate_single_text.py:102(<lambda>)
  1050176    1.685    0.000    7.729    0.000 tokenizer.pyx:388(_split_affixes)
  1332359    4.147    0.000    4.329    0.000 tokenizer.pyx:544(find_suffix)
  1017756    2.892    0.000    3.039    0.000 tokenizer.pyx:516(find_infix)
       93    0.002    0.000    2.844    0.031 __init__.py:1(<module>)
  1330735    0.660    0.000    1.999    0.000 vocab.pyx:141(get)
   1373/3    0.006    0.000    1.614    0.538 <frozen importlib._bootstrap>:1002(_find_and_load)
   1372/3    0.004    0.000    1.613    0.538 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1096/3    0.004    0.000    1.613    0.538 <frozen importlib._bootstrap>:659(_load_unlocked)
    900/3    0.002    0.000    1.613    0.538 <frozen importlib._bootstrap_external>:844(exec_module)
   1496/3    0.001    0.000    1.612    0.537 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    1.612    1.612 collocate_single_text.py:1(<module>)
  1334599    1.361    0.000    1.543    0.000 tokenizer.pyx:530(find_prefix)
       11    0.026    0.002    1.511    0.137 collocate_single_text.py:68(get_word_list)
    33616    0.461    0.000    1.380    0.000 vocab.pyx:175(_new_lexeme)
       11    0.798    0.073    1.277    0.116 collocate_single_text.py:69(<listcomp>)
   515/56    0.001    0.000    0.978    0.017 {built-in method builtins.__import__}
     5593    0.006    0.000    0.879    0.000 <__array_function__ internals>:2(sum)
7638/7528    0.008    0.000    0.877    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     5593    0.009    0.000    0.867    0.000 fromnumeric.py:2123(sum)
     5593    0.011    0.000    0.856    0.000 fromnumeric.py:69(_wrapreduction)
     5627    0.842    0.000    0.842    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1458/1026    0.002    0.000    0.703    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       11    0.094    0.009    0.588    0.053 tokenizer.pyx:226(_apply_special_cases)
  2713160    0.407    0.000    0.557    0.000 tokenizer.pyx:347(_try_specials_and_cache)
  1997263    0.265    0.000    0.478    0.000 doc.pyx:476(__iter__)
       11    0.001    0.000    0.461    0.042 collocate_single_text.py:81(create_collocate_df)
        1    0.000    0.000    0.428    0.428 __init__.py:30(load)
        1    0.000    0.000    0.428    0.428 util.py:397(load_model)
        1    0.000    0.000    0.426    0.426 util.py:430(load_model_from_package)
        1    0.000    0.000    0.425    0.425 __init__.py:9(load)
        1    0.000    0.000    0.425    0.425 util.py:587(load_model_from_init_py)
        1    0.000    0.000    0.425    0.425 util.py:456(load_model_from_path)
       11    0.097    0.009    0.424    0.039 tokenizer.pyx:286(_prepare_special_spans)
       11    0.000    0.000    0.417    0.038 collocate_single_text.py:72(find_target_idx)
       11    0.417    0.038    0.417    0.038 collocate_single_text.py:73(<listcomp>)
        6    0.000    0.000    0.405    0.067 __init__.py:2(<module>)
  1936728    0.148    0.000    0.395    0.000 doc.pyx:897(__pyx_fuse_0push_back)
   187/80    0.000    0.000    0.382    0.005 <frozen importlib._bootstrap_external>:1179(exec_module)
   187/80    0.071    0.000    0.382    0.005 {built-in method _imp.exec_dynamic}
382094/242045    0.168    0.000    0.327    0.000 doc.pyx:443(__getitem__)
        6    0.000    0.000    0.312    0.052 __init__.py:3(<module>)
  2332663    0.300    0.000    0.300    0.000 token.pxd:21(cinit)
      149    0.255    0.002    0.255    0.002 doc.pyx:1003(_realloc)
       17    0.002    0.000    0.250    0.015 tokenizer.pyx:558(_load_special_cases)
     2768    0.012    0.000    0.248    0.000 tokenizer.pyx:582(add_special_case)
    33616    0.157    0.000    0.230    0.000 lex_attrs.py:118(word_shape)
        1    0.000    0.000    0.227    0.227 attributeruler.py:1(<module>)
     1571    0.004    0.000    0.225    0.000 re.py:289(_compile)
      900    0.007    0.000    0.223    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      508    0.000    0.000    0.223    0.000 re.py:250(compile)
      210    0.001    0.000    0.219    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.210    0.210 language.py:1990(from_disk)
      3/1    0.000    0.000    0.210    0.210 util.py:1290(from_disk)
        1    0.000    0.000    0.209    0.209 util.py:492(load_model_from_config)
      284    0.209    0.001    0.209    0.001 {built-in method numpy.array}
        1    0.000    0.000    0.202    0.202 language.py:1663(from_config)
  2669198    0.182    0.000    0.182    0.000 tokenizer.pyx:90(__get__)
  2664718    0.182    0.000    0.182    0.000 tokenizer.pyx:98(__get__)
        1    0.000    0.000    0.176    0.176 language.py:130(__init__)
        1    0.000    0.000    0.174    0.174 language.py:85(tokenizer_factory)
2051/2002    0.041    0.000    0.159    0.000 {built-in method builtins.__build_class__}
      900    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
  2347112    0.149    0.000    0.149    0.000 tokenizer.pyx:74(__get__)
      900    0.148    0.000    0.148    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.148    0.030 api.py:3(<module>)
  2035512    0.147    0.000    0.147    0.000 tokenizer.pyx:106(__get__)
    33616    0.094    0.000    0.141    0.000 lex_attrs.py:22(like_num)
        2    0.000    0.000    0.141    0.070 config.py:1(<module>)
  2030554    0.138    0.000    0.138    0.000 tokenizer.pyx:82(__get__)
      210    0.001    0.000    0.135    0.001 sre_parse.py:937(parse)
  915/210    0.005    0.000    0.133    0.001 sre_parse.py:435(_parse_sub)
 5107/418    0.049    0.000    0.132    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.129    0.129 language.py:2028(<lambda>)
        1    0.000    0.000    0.129    0.129 tokenizer.pyx:745(from_disk)
        1    0.000    0.000    0.129    0.129 tokenizer.pyx:780(from_bytes)
