,title,GPE,sentiment
0,You Can Smell Hillary’s Fear,,0.0
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),,0.125
2,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',,-0.875
3,"Tehran, USA",Tehran;USA,0.0
4,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,,0.0
5,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",,0.4333333333333333
6,10 Ways America Is Preparing for World War 3,,0.0
7,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,,-1.0
8,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,,-0.17023809523809522
9,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,,0.35714285714285715
10,‘Inferno’ and the Overpopulation Myth,,0.0
11,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",,0.15000000000000002
12,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],,-0.6
13,Why It’s Necessary To Relax Into A Stretch,,0.0
14,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",UK;Russia,0.0
15,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",,0.1
16,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,,0.0
17,First Ever Hindu Woman Elected into Congress,,0.25
18,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,,-0.15625
19,Ex-Assistant FBI Director: Clintons Are a Crime Family,,0.0
20,Hillary Wants Aggressively Interventionist Foreign Policy,,0.037500000000000006
21,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,,-0.30000000000000004
22,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,,-0.8
23,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,,0.375
24,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,,0.0
25,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,,0.0
26,"3 Effects of Substance Abuse on Individual, Family and Community",,0.0
27,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,,0.0
28,New Comment Features have been Added,,0.13636363636363635
29,Ying and Yang (the Gold and Silver Set-Up),,0.0
30,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,,0.0
31,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,Detroit,0.0
32,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,,0.0
33,Is google and YouTube in the Hillary's purse?,,0.0
34,Truth Will Out Radio: The Laconia Incident,,0.0
35,Should I Get Botox?,,0.0
36,Lavrov and Kerry discuss Syrian settlement,,0.0
37,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,,0.0
38,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,,0.0
39,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,,0.25
40,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],,0.0
41,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",,0.1
42,CNN: One voter can make a difference by voting repeatedly,,0.0
43,Newly Approved GM Potatoes Have Potential to Silence Human Genes,,0.04545454545454545
44,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",,0.0
45,Nuclear weapons question,,0.0
46,Kevin MacDonald celebrates Trump’s Amazing Victory,,0.6000000000000001
47,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",,0.23333333333333336
48,Glorifying Violence,,0.0
49,Russia may run out of patience and respond to USA's rudeness,Russia;USA,0.0
50,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,,0.8
51,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,,0.3
52,"Geo-Engineering Unlikely to Work, Conservation Group Says",,-0.5
53,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,,0.0
54,“We Were Long Overdue A Presidential Assassination Anyway”,,-0.05
55,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",,0.3222222222222222
56,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,Russia,0.0
