name,betweenness_centrality,degree_centrality,eigenvector_centrality
Chatillon,0.0,0.10714285714285714,0.11048042043470586
KingJohn,0.39263353489543973,0.7142857142857142,0.415529124477519
QueenEleanor,0.03236646510456034,0.3214285714285714,0.24690501205813387
Essex,0.0,0.07142857142857142,0.07650489060013044
Bastard,0.2594293272864701,0.5714285714285714,0.34941357298082104
RobertFaulc,0.0,0.07142857142857142,0.0883438911130458
LadyFaulc,0.0,0.03571428571428571,0.040354124644980505
Gurney,0.0,0.03571428571428571,0.040354124644980505
Arthur,0.046119929453262785,0.2857142857142857,0.2301695716642672
KingPhilip,0.09991496598639456,0.39285714285714285,0.2941853584467601
Lewis,0.08493008314436885,0.3571428571428571,0.2829693654619046
Austria,0.000992063492063492,0.21428571428571427,0.2136954489154116
Constance,0.014581758629377673,0.3214285714285714,0.26897264446791774
Blanche,0.000992063492063492,0.14285714285714285,0.15208791567573554
Citizen,0.06252204585537918,0.17857142857142855,0.1533670828545918
FrenchHerald,0.006261022927689595,0.07142857142857142,0.03650806760948164
EnglishHerald,0.0013227513227513227,0.07142857142857142,0.021928720110873347
Salisbury,0.06857205845301084,0.3571428571428571,0.25415735668860473
Pandulph,0.0024029982363315697,0.25,0.23925832249880905
Hubert,0.03845427059712774,0.25,0.18258196521037315
Executioner,0.0,0.07142857142857142,0.04766916493234274
Pembroke,0.031361803980851595,0.25,0.1731826729585804
1Messenger,0.0,0.03571428571428571,0.04798976646806568
Peter,0.0,0.03571428571428571,0.04798976646806568
Bigot,0.0,0.14285714285714285,0.1107950845991456
2Messenger,0.0,0.03571428571428571,0.04798976646806568
Melun,0.0,0.07142857142857142,0.04935424339380899
3Messenger,0.0,0.03571428571428571,0.032680278122621344
PrinceHenry,0.0,0.14285714285714285,0.1376981345068544
