title,subject,date,short_text,type,prompt,generated_text
TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,politics,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,Fake,"fake headline: TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate
text:"," “Trump: “I’m a little apprehensive about going head-to-head with Bernie. But, we’re going to have a fun debate.”

The official transcript of the Republican Party’s first presidential debate between Donald Trump and Bernie Sanders was posted by CNN on Wednesday, and on the surface, the contents of"
BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,politics,"Mar 19, 2016","This cartoon is one of our all-time favorites. You ve gotta love the note from Bill on the pillow, and the Bernie Sanders voodoo doll on her nightstand is priceless",Fake,"fake headline: BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like
text:","
h/t crunchy mama
meme:
Hillary Clinton is a ruthless, power-hungry lunatic who’d make Joseph Stalin and Mao seem like paragons of civilization.
———
j/k
i mean this seriously. she has spent her entire life indoctrinating herself to be power hungry and ruthless. from the atmoshere"
BREAKING: “The Real Donald Trump Story”,politics,"Jan 8, 2016",A New Campaign Video was just released from the Donald Trump Campaign   Your thoughts on this?,Fake,"fake headline: BREAKING: “The Real Donald Trump Story”
text:","
With the Clinton campaign and candidate Donald Trump highlighting each other’s controversial moments in the campaign, the recent paintings on display at the Republican National Committee’s party headquarters depicting various sketches of Trump clowning Clinton on the front page of The New York Daily News have been generating much buzz.

But..

True, these pictures are already funny. That"
AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,left-news,"Jun 9, 2015",Amen! This judge brings it to this man and it s amazing!,Fake,"fake headline: AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD
text:"," Astoundingly, I can find nothing anywhere in the OBAMACARE law about the definition of an “individual” or “household.” The law essentially allows the IRS to redefine the requirements for filing as an individual or household, and to “purchase” the privilege to be a non-profit.

What you will"
‘Bernie Sanders is on a Mission’,US_News,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",Fake,"fake headline: ‘Bernie Sanders is on a Mission’
text:"," ""What do you do when all sectors of the American middle class are flat or declining? You make a politically galvanizing campaign that goes viral like the Never Trump crusade.""

fake headline: ‘Bernie Sanders is on a Mission’
text: ""What do you do when all sectors of the American middle class are flat or declining? You make a politically galvan"
ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,politics,"Apr 9, 2015",You won t want to miss this,Fake,"fake headline: ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN
text:"," Next time you’re down at Sprinkles and you spot a homeless person in the back alley washing their clothes in a sewer grate, don’t ask them what they’re doing in here. It’s illegal for them to do anything inside a building. They’re not squatters. They’re squatters.

"
"Shaquille O’Neal: “The Earth is flat. Yes, it is.”",US_News,"March 21, 2017","21st Century Wire says No, it is not. Retired basketball megastar Shaquille O Neal has stated that he believes the world is flat.",Fake,"fake headline: Shaquille O’Neal: “The Earth is flat. Yes, it is.”
text:"," “It’s ridiculous that Ohio State is 4-1.”

This is NOT an automated message. We manually publish 100+ channels per day and measure a response when we see it. The club email on the right-hand side now shows 200+ channels sent at time of writing; we are at an all-time high and appreciate you."
HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home,politics,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",Fake,"fake headline: HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home
text:"," In the wake of the Paris attacks, French people suddenly seem eager to secure an alternative home for some of that country’s most... (more)<|endoftext|>"
BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”,politics,"Jan 11, 2017","Here s @chucktodd s interview with @BuzzFeedBen about BuzzFeed s decision to publish that dossier https://t.co/Oa7Fs6IVLT  Bradd Jaffy (@BraddJaffy) January 11, 2017",Fake,"fake headline: BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”
text:","

BuzzFeed News Editor-in-Chief Ben Smith, in an exclusive interview with Journalism Rockstar, said the decision to publish the fake tabloid cover story about Donald Trump was the “right thing to do.”

“I think this is the hardest thing I’ve ever did, but I think it was the right thing to do,"
"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered",politics,"Oct 31, 2016", A source close to Anthony Weiner s legal team says it seems the laptop containing the emails was used to backup his estranged wife s Smartphone contacts in the process. The computer apparently backed up all of the emails as well.,Fake,"fake headline: BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered
text:"," The FBI has discovered 650,000 emails that Huma Abedin, a top Hillary Clinton aide with whom Weiner shared a computer, ""retained, recycled or disclosed"" while serving as Secretary of State.

False

In reality: As The Week explains, “it's not unusual for an aide to be asked by her boss to save work — whether it's on"
SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,Government News,"Apr 17, 2016", I don t really know about that    Nice try Hillary!,Fake,"fake headline: SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation
text:"," Insulting the Clintons’ lack of understanding on 9/11 legislation.

really?

hillary Clinton says she’s “ignorant” about 9/11 legislation, and George Stephanopoulos is all like “how the hell did under that kind of pressure?!”

he wouldn’t get mad if she said"
WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!,politics,"Aug 12, 2016",The Death Tax is the hard earned money you have to pass on to the government when you die. Wouldn t you rather your children receive that money instead of the feds?,Fake,"fake headline: WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!
text:","

Since it’s the holidays, the libtards and Socialists (and the dupes they work for) want you to think that President-elect Trump and the GOP are the greedy ones by wanting to slash billions in entitlement spending. What if I told you that the left wants to take what you earn from you, and give it to those who cannot"
BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions,politics,"Jan 10, 2017","Watch Ted Cruz completely annihilate the Leftist false attacks on Jeff Sessions  character! # confirmationhearing pic.twitter.com/tBaz5rdRoI  John Binder   (@JxhnBinder) January 10, 2017",Fake,"fake headline: BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions
text:","
""Watching the Senator turn his guns on Democrats? What a pleasure!""

True

During a speech on freedom of speech at the annual Conservative Political Action Conference,
Sessions told a story about how a well-known liberal called him during the campaign to denounce his
vigorous campaign against illegal immigration.
“Senator, you are doing everything"
WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?,politics,"Aug 4, 2016",Loretta Lynch is head of the DOJ and is opening for Deray McKesson of Black Lives Matter tomorrow in Detroit. Is this an endorsement of the radical domestic terrorist organization that calls for looting and violence in the name of social justice?,Fake,"fake headline: WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?
text:"," „Another fake headline: IS LORETTA LYNCH SAYING ACCEPTING GEORGE FLOYD IS SURPRISING?“ Fake headline: „When the KKK Wore Blue“
text: „The „problem“ is but I’m not criticizing black folks for criticizing black folks about the „problem"
SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?,Middle-east,"March 12, 2016", 21st Century Wire asks HAVE YOUR SHOUT: Friday night in Chicago saw an unprecedented incident   where flash mobs from an opposing political party were successful in shutting down a presidential political rally. We ask our readers if protesters should be allowed to shut down political rallies.,Fake,"fake headline: SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?
text:"," A recent Student Senate poll on the issue of allowing protesters to shut down political events appears to have favorable results for the protesters.

At least partially. What does that mean?

I’m neither a resident nor a registered voter in the state, so I can’t comment directly on the results. [However] as someone who has equally strong and"
