title,subject,date,short_text,type
(VIDEO) TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,politics,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,Fake
BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,politics,"Mar 19, 2016","This cartoon is one of our all-time favorites. You ve gotta love the note from Bill on the pillow, and the Bernie Sanders voodoo doll on her nightstand is priceless",Fake
BREAKING: “The Real Donald Trump Story” [VIDEO],politics,"Jan 8, 2016",A New Campaign Video was just released from the Donald Trump Campaign   Your thoughts on this?,Fake
AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,left-news,"Jun 9, 2015",Amen! This judge brings it to this man and it s amazing!,Fake
‘Bernie Sanders is on a Mission’,US_News,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",Fake
ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,politics,"Apr 9, 2015",You won t want to miss this,Fake
"Shaquille O’Neal: “The Earth is flat. Yes, it is.”",US_News,"March 21, 2017","21st Century Wire says No, it is not. Retired basketball megastar Shaquille O Neal has stated that he believes the world is flat.",Fake
HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home [VIDEO],politics,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",Fake
BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do” [Video],politics,"Jan 11, 2017","Here s @chucktodd s interview with @BuzzFeedBen about BuzzFeed s decision to publish that dossier https://t.co/Oa7Fs6IVLT  Bradd Jaffy (@BraddJaffy) January 11, 2017",Fake
"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered [Video]",politics,"Oct 31, 2016", A source close to Anthony Weiner s legal team says it seems the laptop containing the emails was used to backup his estranged wife s Smartphone contacts in the process. The computer apparently backed up all of the emails as well.,Fake
SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,Government News,"Apr 17, 2016", I don t really know about that    Nice try Hillary!,Fake
