title;subject;date;short_text;type
Jay Dyer on Tragedy & Hope – Part 4: Rothschilds, Central Banks, FDR & the US Imperium;Middle-east;21-07-2016;Jay Dyer 21st Century WirePicking up where we left off in Part 3, we look at Quigley s analysis of Germany prior to World War II and the rise of Nazism, the situation in France with the dominance of the Catholic, Protestant and Jewish banking houses, and how Rothschild came out on top. We also look at how all three of these colluded to establish a fake front known as the Bank of France at the behest of their agent, Napoleon. ( Hour 2) Revolutions lead to consolidation and the establishment of a central bank, where the  Great Leader  hands the nation s assets and future capital over to the bankers.;Fake
COLLEGE QB Kneed Out Of Anger Over Trump’s Remarks About NFL Players Disrespecting Our Flag…Immediately Gets Bad News From Coach;left-news;14-10-2017;He was given the option to kneel in protest before the game, but it was more important for him to take a stand against our President for bravely taking a public stance in defense of our flag and for our veterans A liberal arts college in eastern Pennsylvania cut its backup quarterback after he knelt during the national anthem. Albright College in Reading cut Gyree Durante from its team after he took a knee during the Star-Spangled Banner, according to the Philadelphia Inquirer. According to the paper, the school promised consequences if players took actions different than those made in a special agreement.;Fake
MUSLIM CONGRESSMAN Abruptly Leaves DC: Uses Finely Honed Divisive Race Skills To Lead Fight Against Cops In MN;left-news;29-11-2015;Rep. Keith Ellison (D-MN) is more than just a radical activist, he s also a devout Muslim U.S. Rep. Keith Ellison abruptly left Washington earlier this month to fly back to Minneapolis and emerged at the center of explosive confrontations between black activists and police outside the Fourth Precinct station. In those first, uncertain days after a fatal police shooting of an unarmed black man in north Minneapolis, Ellison displayed credibility among different factions of the black community, and also had stature in the mayor s office and could help broker a sit-down meeting between Gov. Mark Dayton and the family of the shooting victim, Jamar Clark. The unrest has elevated Ellison s profile, but it has also become his biggest test yet as a political leader trying to negotiate a truce in the latest flare-up of long-running tensions between police and the local black community.;Fake
WOW! LEGAL HISPANIC AMERICAN IMMIGRANT Unloads On Racist Hillary Supporters: “Liberals Are Desperate Because They Know They’re Gonna Lose” [VIDEO];politics;14-10-2016; ;Fake
 Twitter Throat-Punches Trump After His Latest Stupid Lie About The New York Times (TWEETS);News;29-03-2017;On Wednesday, failing President Donald Trump attempted to distract from his ongoing troubles with his administration s numerous, suspicious, and likely treasonous ties to Russia by once again attacking media he considers adversarial   which, of course, is anyone but Fox News and Breitbart at this point. In this case, he once again went after the  failing  New York Times. Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong,  Trump tweeted.;Fake
 The U.S. Constitution Just Ruined Trump’s Day: He’s Now Being Sued For His Twitter Activity (DETAILS);News;11-07-2017;For someone who is as vocal and outspoken as Donald Trump on social media, he has shockingly thin skin. Trump has been known to hide and run away from protesters both on and offline, unable to take the much-needed criticism that Americans are trying to offer. Because of Trump s fragile ego, it has been quite common for Trump to block other Twitter users for simply expressing their First Amendment rights.;Fake
Mainstream Media Fake News: 21st Century Wire Debates American ‘Liberal’ Academic;US_News;18-12-2017;This past week saw one of the most colorful debates regarding the CNN and US mainstream media meltdown over the Russia-gate conspiracy. CrossTalk says:  Trust in the mainstream media is at an all-time low. But no one should be surprised and the media has itself to blame.;Fake
WIKILEAKS BOMBSHELL RELEASE: #Unfit Hillary’s Advisors Contacted NFL Commissioner For Advice On “Cracked Head” [VIDEO];left-news;23-08-2016;Hillary Clinton adviser Philippe Reines at the State Department contacted the NFL Commissioner in 2012 to inquire about severe head injuries. Hillary Clinton thanked Reines and added,  Having a cracked head is no fun at all. The email was sent on December 24, 2012.;Fake
OOPS! [Video] Flashback To When Carly Fiorina Made Fun Of A Female Political Opponent’s Appearance;politics;17-09-2015;Hmmmm .interesting HT: U.S.Patriot1776 Via: Weasel Zippers;Fake
 The UNBELIEVABLE Reason Trump Pardoned Arpaio As Hurricane Harvey Was Bearing Down;News;28-08-2017;If Donald Trump hadn t proven himself to be the worst person to ever occupy the White House, he certainly proved it on Friday. While Hurricane Harvey was about to hit land as the largest hurricane in over a decade, he pardoned the racist sheriff Joe Arpaio. As it turns out, Trump s timing wasn t just heartless and it wasn t at all oblivious.;Fake
 DNC Chair Not Holding Back On GOP: ‘They Don’t Give A Sh*t About People’ (VIDEO);News;01-04-2017;Democratic National Committee Chairman Tom Perez didn t mince words when he called out the GOP for their appalling health care plan. Their plan would have resulted in tens of millions of Americans being without insurance coverage by the end of the next decade. Perez made his point loud and clear when he explained that the reason Republicans are okay with this plan is because they just  don t give a sh*t about people.;Fake
MORE TRANSPARENCY: CLINTON’S REFUSE TO RELEASE HILLARY’S HEALTH RECORDS;left-news;16-06-2015;Karl Rove is suggesting Hillary suffered brain damage following her blood clot. On Sunday, Hillary Clinton s campaign manager would not commit to releasing her health records during the 2016 campaign. Face the Nation host John Dickerson pointed out that  Hillary Clinton had a big health scare when she was secretary of state  and asked campaign manager Robby Mook,  will she release her medial records as part of this campaign?;Fake
STUNNING TESTIMONY On The Devastation Illegal Immigration Brings To Black America [Video];Government News;21-03-2016; Fantastic testimony on the disastrous results of illegal immigration on the black community: FLASHBACK: Obama wrote in 2006 that Illegal Immigration HURTS  Blue-Collar Americans,  and STRAINS Welfare pic.twitter.com/wpvnqFgIQ9  NumbersUSA (@NumbersUSA) March 20, 2016;Fake
 Trump SHREDS All Remaining Ideas That He’s Not An Egotistical Bastard In Latest Hillary Rant;News;29-07-2016;Nobody can accuse King Cheeto, a.k.a. Donald Trump, of being classy, even as he expects a classiness from his rivals that he ll never possess. At a rally in Colorado Springs, he bitched and moaned about Hillary s speech, especially how she didn t congratulate him, her worthy opponent, for being so amazingly worthy.;Fake
MASSIVE WIKILEAKS DROP Exposes CIA Spying via iPhones, Android Phones and Samsung TVs [Video];Government News;07-03-2017;WIKILEAKS JUST DROPPED DOCUMENTS EXPOSING THE CIA SPYING AND HACKING:The CIA  hacks iPhones, Android phones and TVs Via Wikileaks:Today, Tuesday 7 March 2017, WikiLeaks begins its new series of leaks on the U.S. Central Intelligence Agency. Code-named  Vault 7  by WikiLeaks, it is the largest ever publication of confidential documents on the agency. The first full part of the series,  Year Zero , comprises 8,761 documents and files from an isolated, high-security network situated inside the CIA s Center for Cyber Intelligence in Langley, Virgina.;Fake
 Obama Lets Us In On Who He Thinks Will Be President At Next Year’s Correspondents’ Dinner (VIDEO);News;30-04-2016;Every year the nation s press corps meets in Washington D.C. at the Correspondents  Dinner. A dinner which is always entertaining, to say the least, as President Obama jokes about events that may have happened throughout the past year, and people who have most significantly appeared in the media. This year was no different as the president quipped about each and every presidential candidate, not leaving anyone out.;Fake
In Liberal Utopia of Chicago, Where Americans are? Dying Left & Right…Rahm Emanuel Unveils Fancy ID For Illegals;politics;16-12-2017;Chicago Mayor Rahm Emanuel is really working hard to make Chicagoans feel a part of the city the only problem is he s focusing his efforts on the illegal aliens who live there. To add insult to injury, Chicago s murder rate is sky high with no end in sight but, but, but the illegals have a new  fancy  ID to give them the same benefits as everyone else in the city at a cost of millions to taxpayers. The card is free to the freeloaders while the taxpayers foot the bill The name  municipal ID  was initially floated for the program, but Emanuel revealed that Chicago s city IDs would actually be called  City Keys.;Fake
Finger Wagging Maxine Waters on Illegal Aliens and the Wall: ‘This is their country!’ [Video];left-news;18-09-2017;Maxine Waters is one angry woman. She has gone non-stop with attacks on President Trump since he was elected. Speaking to the Westchester-Playa Democratic Club at an LA church in April, Waters defended illegal immigrants, saying America is  their country.;Fake
 Trump Team Getting Approval On White Nationalist Nominees From The Worst Lying Troll On The Web;News;09-01-2017;There s a man who s been permanently banned from Twitter for threats and harassment, and was once known as the  most hated man on the Internet,  who s working behind the scenes to advise, and even approve of, some of Trump s nominees. That man is Charles  Chuck  Johnson (not to be confused with Little Green Footballs  Charles Johnson), and he s used his platform to spread racist hate and outright lies. And Forbes reports that he s working to help pick Trump s administration.;Fake
YOUNG MAN DELIVERS POWERFUL Message To Liberals: “Put down your fists…Take off your masks…If you do not change…you’re going to lose” [VIDEO];politics;16-02-2017;Wow! This young Asian student nails it! He speaks for every American who has been a victim of Obama s failed government experiment.;Fake
PERFECT! President Trump Is Laughing Hysterically In HILARIOUS New Video Featuring CNN Logo As Jim Carrey In “LIAR LIAR” Movie;politics;10-07-2017;Last week, after President Trump retweeted a hilarious WWE wrestling video featuring  Donald Trump  body-slamming WWE Chairman Vince McMahon, with a CNN logo dubbed over his head. Instead of letting it go, CNN chose instead, to threaten the person who allegedly created the meme. As it turns out, threatening to  out  a private citizen for exercising his right to free speech, simply because it offended CNN, probably wasn t a very good idea. #;Fake
WHOA! MELANIA TRUMP BREAKS HER SILENCE…Fires Back At Trump Accusers [VIDEO];politics;17-10-2016;Melanie Trump is more than just a pretty face. She is brilliant and is not likely someone who is pushed around. In her interview on Fox & Friends that will air on Tuesday between 6-9 am EST, Melania talks about her husband s accusers with Fox and Friends host Ainsley Earhardt.;Fake
NANCY PELOSI Screws Up the Oath of Office While Lecturing Reporters on the Seriousness of Her Job [Video];politics;30-07-2017;Not a day goes by that we have another gaffe from Nancy Pelosi Term Limits Please!.@NancyPelosi screws up the oath of office while lecturing reporters about the seriousness of her job. pic.twitter.com/hLGCxsqK4m  Josh Caplan (@joshdcaplan) July 30, 2017 PELOSI:  As you know, today we ll be debating what s called the minibus, minibus. Not an omnibus, everything, minibus.;Fake
WINNING “Draw Mohammed” Picture Being Sold On E-Bay…With 4 Days Left To Go, You Won’t Believe How High The Bids Are Getting;left-news;03-05-2016;You won t believe how much people are already bidding for  the  Draw Mohammed  picture. Check out the latest bids here: E-BAYThe image that won the  draw Mohammed contest  attacked by terrorists in Garland, Texas, is now up for sale on eBay. The art depicts an artist drawing Mohammed with the dialogue  You can t draw me.;Fake
 Obama’s Head Of Disaster Relief TRASHES Trump’s Response To Puerto Rico (TWEET);News;30-09-2017;It s no secret that Donald Trump s response to the crisis in Puerto Rico has been nothing but disappointing. While US citizens were begging for disaster relief, Trump was staying at his golf club, turning his back on them. The Washington Post ran a story about Trump s negligence last night, stating that Trump went MIA for four entire days while Puerto Rico suffered, focusing all of his attention on attacking NFL players and North Korean dictator Kim Jong-un.;Fake
MUSLIM DEMOCRAT WOMAN Is Asked How She Feels About Trump’s Presidency: “If Arab countries can ban Muslim Brotherhood why can’t we?”;left-news;13-02-2017;Anila Ali was born in Karachi, Pakistan, and studied in London, where she became a volunteer in the All Pakistan Women s Association. In 1996, she came to California. She is an active member of the Council of Pakistan-American Affairs (COPAA), the author of  Mommy am I a ?;Fake
 Trump Spokeswoman Slips Up, Says Trump’s Immigration Plan Won’t Work (VIDEO);News;06-09-2016;We are all getting whiplash from Donald Trump s constant flip-flopping on his immigration policy over the last few weeks. Trump had been touting one of the most racist, heartless and problematic solutions to immigration throughout his entire campaign until just a few weeks ago, when he suddenly walked it back and softened his position. That decision confused everyone   and especially angered his equally racist supporters   and Trump has been stuck in a vicious back-and-forth pattern ever since.;Fake
 Michigan Republicans Strip Flint Of Their Power To Sue The State Over Poisoned Water;News;19-09-2016;The city of Flint, Michigan is suffering through a horrible man-made disaster that could have been easily prevented if state Republicans hadn t been so careless. After placing Flint under state control, officials chose to save money by switching the city s drinking water from Lake Huron to the Flint River, which has not been the drinking water source for decades because it was poisoned and considered unsafe for human consumption. As a result, the city has been devastated by lead poisoning, which will have terrible consequences for years to come for the children who ingested the tainted water.;Fake
YIKES! WHAT THE HECK Did Hillary Just Cough Up Into Her Glass?…And Why Is There An Ambulance In Her Motorcade? [VIDEO];left-news;06-09-2016;Hillary was seen passing up a bottle of water in the midst of another one of her coughing fits in front of her press cheerleaders on her new campaign plane yesterday. Passing up a bottle of water in the middle of a coughing fit would seem strange, but what was even more strange is that she passed up a bottle of water for a glass of water that was handed to her by someone on her staff from behind the curtain. Pretty much everything Hillary does is done from  behind a curtain  so the idea that Hillary is likely hiding a serious illness like say .Parkinson s Disease is not really all that far fetched.;Fake
 KY GOP State Rep. Commits Suicide Over Allegations He Molested A Teen Girl (DETAILS);News;13-12-2017;In this #METOO moment, many powerful men are being toppled. It spans many industries, from entertainment, to journalism, to politics and beyond. Any man that ever dared to abuse his power to sexually harass, molest, or assault women better brace himself for being rooted out, publicly shamed, and forced into early retirement.;Fake
 Donald Trump Even Stole The Cake Design From Obama’s 2013 Inauguration (TWEETS);News;21-01-2017;At this point, it s fair to ask,  What is Donald Trump s deal?  From allegedly paying Russian prostitutes to  drain the swamp  all over a bed because Obama once slept in it to stealing a photo from our last legitimate President s inauguration and attempting to pass it off as one of his own, to erasing as much of Obama s agenda as he could from the White House website, to immediately going for Obamacare s throat, it almost feels like The Donald s only purpose is to erase the President s legacy and douse it in Russian lady pee. Now, it seems, he even stole a cake design from Obama.;Fake
