collocate,collocate_count,corpus_count,MI
forced,1,4,6.272562755522654
to,6,1337,0.47274150615045785
make,1,41,2.915010750904571
over,1,76,2.0246352420790688
the,3,2583,-1.4773066718741894
tombs,1,2,7.272562755522654
mother,1,47,2.717973903845017
fell,2,10,5.950634660635292
in,14,869,2.316705310765858
do,1,231,0.42081371410659696
n't,3,298,1.638356735781649
you,2,597,0.05097563425784955
years,1,43,2.8462980008205565
previously,1,6,5.687600254801498
before,1,45,2.78070965919298
had,2,666,-0.10681561154860773
come,1,53,2.544642300959455
into,1,117,1.4021980359392499
she,5,788,0.9724390309536406
with,10,407,2.92560586614377
him,4,348,1.8296192596739265
he,5,1258,0.29757464353072766
like,1,116,1.4145817603950823
it,5,784,0.9797810062948085
for,2,343,0.8504979893498422
on,2,353,0.8090383822514742
as,1,424,-0.45535769904054463
and,2,1608,-1.378488935656274
fall,1,5,5.950634660635292
almost,1,12,4.687600254801498
normal,1,2,7.272562755522654
stature,1,2,7.272562755522654
o,9,42,6.050170334186206
exclaimed,3,21,5.46520783346505
also,1,35,3.143279738577688
said,2,406,0.6072268383374784
love,2,29,4.414581760395083
emanuel,4,157,2.977942006631028
again,2,45,3.7807096591929796
called,1,29,3.4145817603950825
plaintively,1,4,6.272562755522654
would,1,145,1.0926536655077201
be,2,261,1.24465675895277
guests,1,4,6.272562755522654
all,3,163,2.508797102012733
about,2,125,2.3067784708605674
lived,1,10,4.950634660635292
alone,1,20,3.950634660635292
that,1,751,-1.2801063419916172
but,1,328,-0.08498924909542913
this,1,164,0.915010750904571
time,1,63,2.295282832022738
seemed,1,40,2.9506346606352922
more,1,75,2.0437440650267735
than,1,80,1.9506346606352922
was,4,915,0.43493482235124964
i,4,825,0.5843124463894763
'm,2,82,2.915010750904571
really,1,22,3.8131311368853575
of,1,1430,-2.2092366761430973
is,1,248,0.3183664451357793
house,1,73,2.0827381966426373
should,1,58,2.414581760395082
oh,1,47,2.717973903845017
dear,1,27,3.5176752533591857
been,1,172,0.8462980008205567
falling,1,2,7.272562755522654
lilian,1,31,3.3183664451357795
has,1,34,3.185099914272315
repeats,1,1,8.272562755522655
itself,1,16,4.272562755522655
prockter,1,178,0.7968293245562569
piano,1,21,3.880245332743894
say,1,59,2.3899197061608133
its,1,54,2.5176752533591857
fashion,1,3,6.687600254801498
announce,1,2,7.272562755522654
not,1,396,-0.3567938645569551
a,2,1350,-1.1261809364155386
idyll,1,4,6.272562755522654
there,2,167,1.8888584630486023
were,2,162,1.9327127526380299
me,2,165,1.9062405412768386
why,1,65,2.2501949424942
's,1,464,-0.5854182396049177
another,1,41,2.915010750904571
affair,1,11,4.813131136885357
have,1,224,0.4652078334650503
too,1,40,2.9506346606352922
much,1,61,2.341825417959768
even,1,60,2.365672159914136
