collocate,collocate_count,corpus_count,MI
flocks,1,2,5.154951522253248
xxiv,2,2,6.154951522253248
now,7,295,0.757735300061649
nothing,4,153,0.8975636795605968
left,3,96,1.1549515222532483
to,87,5092,0.2838783142006188
or,10,618,0.20541658923623626
hate,2,16,3.1549515222532487
xxv,1,2,5.154951522253248
carte,1,8,3.1549515222532487
blanche,1,8,3.1549515222532487
xxvi,1,2,5.154951522253248
and,82,6075,-0.05616516650917345
thistles,1,2,5.154951522253248
xxxi,2,2,6.154951522253248
kind,6,135,1.6630984259235737
is,32,1204,0.9213318454935464
my,38,805,1.7500340626948547
day,3,246,-0.20260048236483527
morrow,3,44,2.280482404337107
xxxii,1,2,5.154951522253248
xxxiii,1,2,5.154951522253248
by,6,787,-0.8803058025330818
special,1,12,2.569989021532092
licence,1,14,2.3475966001956445
xxxiv,2,2,6.154951522253248
our,5,78,2.191477398278362
was,28,2624,-0.39524556030723107
new,8,139,2.036010449529741
then,5,241,0.5639902809106492
but,18,1103,0.21765944810417825
in,56,3139,0.3462171307287374
not,27,1215,0.6630984259235738
loving,1,14,2.3475966001956445
him,15,694,0.6230502652835062
nay,1,16,2.1549515222532483
plucking,1,4,4.154951522253248
another,2,65,1.132583709224794
out,4,294,-0.044720822583115924
of,65,5237,-0.17720555416764805
her,52,2986,0.3113927902597994
heart,8,144,1.985026520810936
order,1,39,0.869549303391
's,17,1498,-0.3064075449551632
stateliness,1,3,4.569989021532092
subjugated,1,1,6.154951522253248
perfect,1,54,0.4000640200897798
all,11,816,-0.058042201080949846
the,85,8909,-0.5567053302959698
rest,1,55,0.37359180872858894
generation,1,4,4.154951522253248
had,23,1772,-0.11264941024475701
she,38,2246,0.26973682329623294
fellside,2,159,-0.15793143303110693
this,13,714,0.3756109763652409
mountain,1,44,0.6955199036159512
retreat,1,8,3.1549515222532487
a,57,4554,-0.16507703971863236
he,17,1622,-0.421143740713685
said,9,647,-0.01274537829694676
oh,2,83,0.7799120909063237
how,4,242,0.23608828497865395
i,68,2559,0.9210499314641415
should,9,305,1.0722110912453122
see,6,213,1.0052044027485663
black,1,29,1.2969705271256762
forest,1,5,3.8330234273658856
cried,1,45,0.6630984259235738
over,9,229,1.485672735598617
head,3,98,1.1252041788591964
ears,3,10,4.417985928087043
with,31,1562,0.4999690944981445
one,6,492,-0.20260048236483527
woman,7,142,1.8125593248061702
apt,1,9,2.985026520810936
no,17,646,0.907024008809663
doubt,4,82,1.7973995176351647
jack,1,39,0.869549303391
desperately,2,3,5.569989021532092
lesbia,21,899,0.7350916395175614
you,84,1999,1.582206188287381
ought,2,73,0.9651269633732312
let,3,102,1.067488681002909
be,13,1279,-0.46540930848729645
protested,1,11,2.695519903615951
mary,12,770,0.1511993873921409
know,7,262,0.9288834427734023
saw,3,72,1.5699890215320924
gradual,1,2,5.154951522253248
dawning,2,2,6.154951522253248
his,8,1363,-1.257618324551961
glow,1,10,2.833023427365886
its,2,95,0.5850959139223006
herself,3,223,-0.06098587694590008
some,4,219,0.380164462652075
outrage,1,1,6.154951522253248
against,4,106,1.4270310676900493
faith,1,16,2.1549515222532483
as,29,1521,0.44212807965632395
wife,2,120,0.24806092664472998
wants,1,19,1.9070240088096628
something,2,74,0.9454981566242986
human,1,16,2.1549515222532483
answered,4,168,0.7626340994744882
making,2,42,1.7626340994744882
it,14,1324,-0.4083809624963651
very,8,515,0.14652290018266773
obvious,1,12,2.569989021532092
feeling,1,40,0.833023427365886
sylph,1,2,5.154951522253248
like,6,388,0.14000118078727689
quite,1,111,-0.6394643440968574
own,8,264,1.1105574028947949
elegance,1,5,3.8330234273658856
when,4,440,-0.626408191271411
knew,6,130,1.7175462099459502
that,34,2189,0.14635812432264167
hammond,5,380,-0.09297599119033693
thought,6,180,1.24806092664473
sometimes,2,41,1.7973995176351647
strain,1,3,4.569989021532092
song,1,12,2.569989021532092
brief,1,20,1.833023427365886
passionate,3,11,4.280482404337107
