collocate,collocate_count,corpus_count,MI
house,64,433,6.239350992600336
by,3,1475,0.05603746891165164
charles,1,4,6.9975742073270615
dickens,1,1,8.997574207327062
preface,1,3,7.412611706605905
a,10,7708,-0.5926385540812974
human,1,44,3.538142588689764
occurrences,1,4,6.9975742073270615
are,4,1079,0.9220950578390443
usually,1,18,4.827649205884749
received,1,71,2.8478270878223793
in,12,6283,-0.03470115669788715
i,26,9341,0.5086526350023571
have,5,2217,0.2051092473471164
purposely,1,4,6.9975742073270615
dwelt,1,7,6.190219285269458
upon,1,786,-0.6208112949315451
turning,2,67,3.931485016869289
over,3,462,1.7307876666321602
leaves,2,49,4.382864363211853
is,9,3482,0.40179872111827264
jarndyce,13,470,3.821496978903154
of,25,8518,0.5851313825514486
bleak,4,59,5.11493115796522
my,10,3688,0.47087936178508577
lord,4,120,4.090683611718543
said,14,1743,2.0375722752589804
mr,8,3094,0.4023167258780256
kenge,3,151,3.344131968723139
and,20,12737,-0.31723559081708524
his,5,4087,-0.677324225806235
lordship,1,16,4.9975742073270615
hertfordshire,1,4,6.9975742073270615
not,3,2370,-0.6281346357374039
married,1,69,2.889049750548892
more,1,721,-0.4962812419137611
observed,1,77,2.73078766663216
the,26,14970,-0.17177267547762548
roof,2,29,5.13959321219949
why,2,353,1.534049834055881
she,3,1887,-0.2993419995522278
thought,1,346,0.5629459796903366
so,3,2015,-0.3940274153671123
make,2,318,1.684691252042706
order,1,56,3.1902192852694573
has,2,1081,-0.08057660040758896
chosen,1,11,5.538142588689764
far,2,138,2.889049750548892
as,3,3029,-0.9820891547471549
us,2,581,0.8151798539225324
that,13,5055,0.3945185486777765
road,1,63,3.0202942838271447
to,17,10213,-0.23308204139809433
would,2,941,0.11952329459852451
been,2,1006,0.02315961752153435
very,1,1081,-1.080576600407589
long,2,335,1.6095569219819266
fire,1,185,1.4661927468107492
wondering,4,17,6.910111366076722
about,4,691,1.5650323069388028
now,1,908,-0.8289742799638536
some,2,571,0.8402272719642185
one,2,974,0.0697962452447192
authority,1,8,5.9975742073270615
at,4,2502,-0.2912918668387584
lastly,1,3,7.412611706605905
it,8,5469,-0.4194871394332291
was,13,3348,0.9889301129178099
no,3,1259,0.28447414032920093
singly,1,3,7.412611706605905
letters,1,82,2.6400222027089777
forming,1,4,6.9975742073270615
words,2,138,2.889049750548892
these,1,365,0.4858215535596818
astonishment,1,10,5.675646112439699
st,1,7,6.190219285269458
albans,1,12,5.4126117066059045
