collocate,collocate_count,corpus_count,MI
must,5,405,0.7442996874645469
have,7,966,-0.024374766428997618
the,67,10039,-0.1430890661494152
o,3,660,-0.697210023175488
god,9,183,2.7383748535074415
in,43,3126,0.900312382051605
to,43,6587,-0.1749913897348714
be,8,1577,-0.5388172544413387
shedding,1,3,5.499187189628016
than,13,511,1.787409927552642
making,7,104,3.1910648942656836
observations,1,3,5.499187189628016
souls,1,26,2.3837099722080795
and,72,6797,0.5233922843146874
put,2,192,0.49918718962801534
between,4,97,2.484236848162044
parents,1,6,4.499187189628016
was,21,3056,-0.10096171490781687
full,2,67,2.018060499891399
of,67,4484,1.0196683180015171
all,13,844,1.0634902197830787
men,2,150,0.8553309998532905
would,6,777,0.06734140266261773
n't,12,781,1.0599334529283482
you,35,2301,1.0453874390700484
such,3,229,0.8299084029733838
a,28,4942,-0.3793746829220087
man,8,457,1.2480993352911016
then,2,368,-0.43941226570784137
that,35,2681,0.8248772033115768
jesus,1,16,3.084149690349171
showed,1,21,2.6918322675704114
is,20,1023,1.4074873554912053
same,3,128,1.6691121910703275
has,8,283,1.939491447517289
saviour,1,11,3.6247180717118743
his,22,1924,0.6336882252164268
look,3,291,0.4842368481620437
here,2,164,0.7265976857310879
dinah,7,526,0.8525856231144733
turned,1,148,-0.12530367527977831
at,2,1461,-2.428590772454327
with,32,1817,1.2568069861150557
mercy,2,23,3.5605877342921586
divine,4,31,4.129953379962296
peace,2,16,4.084149690349172
which,4,710,-0.3875255240428729
's,16,2832,-0.383455859733826
turns,1,10,3.762221595461809
poverty,1,4,5.084149690349172
into,4,418,0.3767905582682888
sisters,1,12,3.499187189628015
whom,2,81,1.7442996874645469
i,23,3602,-0.20687081950009165
as,26,2671,0.4014251478551536
those,1,149,-0.13501883011299
for,29,2398,0.7145147420625201
got,1,360,-1.4077034059805031
every,2,148,0.8746963247202216
creature,2,14,4.276794768291568
without,3,206,0.9826116638871093
end,2,95,1.5142940820182238
no,6,945,-0.2150583280381074
could,9,620,0.9779502865172462
her,32,3047,0.5109759056626858
better,6,248,1.7149158806834526
days,1,79,0.7803689421720686
he,11,2955,-0.9853611060784261
had,14,1970,-0.05247530193696301
your,8,511,1.08697020941155
towards,5,252,1.428797861736617
me,19,873,1.562239360163317
saw,1,161,-0.24676718776544546
given,3,80,2.3471840961829655
filled,1,29,2.2261686952215998
word,1,87,0.6412061945004432
something,3,158,1.3653314428932248
passing,1,10,3.762221595461809
women,2,93,1.5449908792411402
strong,5,92,2.882515829179521
it,12,2858,-0.8116780100254888
love,4,273,0.991392549429319
adoration,1,2,6.084149690349171
himself,3,265,0.6192636416197662
this,9,786,0.6356891895328775
sort,2,90,1.5922965940194969
deep,4,60,3.1772590947406534
worthy,1,4,5.084149690349172
so,9,757,0.6899252018057522
whether,1,47,1.5295608386715343
unfathomable,1,1,7.084149690349172
ocean,1,2,6.084149690349171
beauty,2,45,2.592296594019497
our,15,256,2.9910402859576903
silence,1,59,1.2015066409873303
its,1,155,-0.19197471492506601
highest,1,5,4.762221595461809
gift,1,9,3.9142246889068595
venerating,1,1,7.084149690349172
been,5,699,-0.04307086013890257
son,2,41,2.726597685731088
woman,4,226,1.2639707279339838
brutes,1,2,6.084149690349171
us,5,262,1.3726547836990837
idolatrous,1,1,7.084149690349172
adam,11,1207,0.30637134823144735
know'st,1,10,3.762221595461809
we,6,525,0.6329385785168429
canna,1,28,2.2767947682915675
just,1,188,-0.4704391613284658
where,1,276,-1.0243747664289975
other,6,328,1.3115601864522437
story,1,27,2.329262188185703
disappointed,1,4,5.084149690349172
might,2,306,-0.17323815234348033
walked,1,80,0.7622215954618092
ears,2,40,2.762221595461809
intoxication,1,1,7.084149690349172
young,2,211,0.36305050164198627
mere,1,25,2.440293500574447
suppose,1,33,2.0397555709907182
does,6,94,3.11452333939269
respect,2,25,3.4402935005744464
or,4,428,0.34268270394802447
still,1,184,-0.43941226570784137
there,4,1022,-0.9130297905884498
faith,1,10,3.762221595461809
hope,1,94,0.5295608386715341
pouring,1,4,5.084149690349172
goodness,1,5,4.762221595461809
seth,2,318,-0.22873326493518387
tacitly,1,1,7.084149690349172
included,1,2,6.084149690349171
way,2,341,-0.32947823867500103
cloudy,1,2,6.084149690349171
oh,1,65,1.061781877320717
stonyshire,1,11,3.6247180717118743
side,1,116,0.2261686952215995
feel,3,151,1.4307074517452487
addy,1,12,3.499187189628015
do,5,669,0.020215384595072983
