collocate,collocate_count,corpus_count,MI
the,19,8667,-0.382772855222442
mother,2,153,2.1932287779270925
's,15,1579,1.732711760368026
is,10,1075,1.7024237710302839
at,2,1170,-0.7416761938510227
first,3,136,2.948116280090561
other,1,250,0.4848323359576572
long,1,149,1.2314481001575828
lived,1,23,3.9270546645627316
that,15,2950,0.831007977091697
by,4,908,0.6240681333288294
of,22,5274,0.5453663833924814
an,5,657,1.412795155184777
hour,1,32,3.4506166206197437
after,1,182,0.9428219804210479
not,6,1597,0.3944305239296678
bound,1,19,4.202689107176159
to,14,5655,-0.20733976619983435
toryism,1,6,5.865654119898588
better,2,145,2.27070753060481
than,5,443,1.9813818269520882
in,16,2988,0.9056521878305073
him,5,1015,0.785280703434568
a,16,4744,0.23872832607374062
for,4,1416,-0.016988929463253075
whatsoever,1,2,7.450616620619744
things,2,215,1.7024237710302839
largeness,1,2,7.450616620619744
and,19,5390,0.302474576423462
strength,2,28,4.64326169856214
was,10,2798,0.32236446834235327
able,2,33,4.406222501261291
her,18,1717,1.8748672980599226
father,1,210,0.7363711029536217
she,8,1302,1.1041028874541088
might,2,328,1.0930646160016606
caress,1,2,7.450616620619744
should,1,372,-0.08854219048828704
ever,2,105,2.7363711029536217
well,2,292,1.2607920617397272
enough,1,136,1.3631537793694048
conditions,1,33,3.406222501261291
his,4,2070,-0.5647984317669432
fresh,1,18,4.280691619177432
subject,1,42,3.058299197840984
he,8,2713,0.04494328833787808
dreaded,1,5,6.128688525732382
anything,1,133,1.3953341851185546
81,1,1,8.450616620619744
can,2,248,1.496420310232869
you,3,1747,-0.735084771575859
me,4,556,1.3316755478962368
annette,1,41,3.093064616001661
will,1,441,-0.3340182249377763
believe,1,65,2.42824880759129
with,13,1712,1.4095893523596894
but,10,1353,1.3705985915305696
kindness,2,14,5.64326169856214
making,1,70,2.321333603674778
are,2,471,0.5710333710069612
more,2,549,0.34995428161454567
x.,1,1,8.450616620619744
made,2,250,1.4848323359576572
neither,1,25,3.80676043084502
roses,1,2,7.450616620619744
woman,7,193,3.6655145054092677
conquest,1,6,5.865654119898588
little,2,386,0.8581595833516638
never,4,272,2.363153779369405
i,5,2509,-0.5203520399020659
'll,2,221,1.6627140612283127
if,3,763,0.4600398745063701
bear,1,44,2.991185001982447
resolving,1,1,8.450616620619744
marry,1,33,3.406222501261291
who,5,739,1.243114161360956
would,4,728,0.9428219804210479
make,2,229,1.6114128325228003
did,3,285,1.8807610122887966
one,2,530,0.4007680711691828
115,1,1,8.450616620619744
could,1,402,-0.20043507055918436
any,5,380,2.2026891071761585
something,2,171,2.0327641057338464
they,1,566,-0.6940416222121379
swilling,1,1,8.450616620619744
filling,1,6,5.865654119898588
