collocate,collocate_count,corpus_count,MI
antiquities,1,1,7.403551778935325
and,14,1638,0.5331870593519212
art,1,6,4.818589278214169
understand,1,34,2.3160889376849862
the,9,2357,-0.6292592628725293
had,2,538,-0.6679105836212984
fallen,1,7,4.596196856877722
in,10,591,1.5184655536451557
with,7,305,1.9582412685426813
lilia,2,138,1.2950273221571567
theobald,1,23,2.8799898228783127
's,2,279,0.2794304671061382
letter,2,42,3.0112343561565655
we,2,153,1.146163936242674
this,4,173,1.9689235512986012
place,2,44,2.9441201602980285
caroline,1,35,2.2742687619903594
that,6,577,0.8160867710109994
social,1,12,3.8185892782141693
differences,1,1,7.403551778935325
after,2,62,2.4493554685484504
all,2,279,0.2794304671061382
not,6,504,1.0112343561565653
unworldly,1,1,7.403551778935325
marriages,1,1,7.403551778935325
are,2,142,1.2538046594306438
made,1,44,1.9441201602980285
country,1,17,3.3160889376849862
italians,2,13,4.703112060794234
england,1,19,3.15562426549174
expect,1,6,4.818589278214169
to,4,1325,-0.9682248654025982
it,4,836,-0.30380735314555707
quite,1,45,1.911698682605651
so,2,195,0.7962214651857149
i,12,840,1.2742687619903594
marry,1,13,3.7031120607942336
for,3,479,0.08463243392030173
coarseness,1,1,7.403551778935325
sometimes,3,14,5.181159357598878
there,5,179,2.2416640965584316
was,4,914,-0.43249857612274406
but,5,439,0.9474027442873298
gradually,1,4,5.403551778935326
one,1,189,-0.15869064528574695
passionately,1,4,5.403551778935326
her,4,714,-0.07622848509377401
therefore,1,9,4.233626777493013
land,1,5,5.081623684047964
where,4,55,3.6221920654106663
you,3,694,-0.45027757292177895
or,3,146,1.7986897207764645
hate,1,3,5.818589278214169
life,2,65,2.3811839659068714
falling,1,3,5.818589278214169
a,1,940,-2.472965167629674
mere,1,2,6.403551778935325
darkened,1,1,7.403551778935325
room,1,55,1.6221920654106663
my,1,125,0.4377674942732387
he,6,1110,-0.12782968158098648
would,2,194,0.8036389367481981
say,2,67,2.3374625884775533
knowing,1,11,3.944120160298029
human,2,4,6.403551778935325
love,2,50,2.759695589160601
of,6,986,0.043070443278570264
truth,1,4,5.403551778935326
conquer,1,3,5.818589278214169
beauty,1,21,3.0112343561565655
fails,1,2,6.403551778935325
fell,2,9,5.233626777493014
shabbily,1,1,7.403551778935325
be,3,315,0.689306261269203
do,4,269,1.3320894163787016
man,1,70,1.2742687619903594
they,4,201,1.7525000877563972
did,2,163,1.0548236247042482
n't,3,210,1.2742687619903594
never,1,120,0.4966611833268071
on,1,220,-0.37780793458933387
death,1,14,3.5961968568777216
as,1,370,-1.1278296815809865
spectacles,1,1,7.403551778935325
music,1,11,3.944120160298029
silently,1,2,6.403551778935325
like,1,102,0.7311264369638302
their,2,65,2.3811839659068714
night,1,28,2.5961968568777216
whose,1,21,3.0112343561565655
remembered,1,13,3.7031120607942336
is,5,439,0.9474027442873298
does,3,37,3.7790609140275317
child,1,59,1.5209087295734847
said,2,255,0.40919834207646766
miss,1,169,0.0026723426531414175
abbott,1,176,-0.05587983970197151
politely,1,4,5.403551778935326
shall,1,59,1.5209087295734847
no,4,195,1.7962214651857151
she,3,948,-0.9002289692417773
me,2,152,1.1556242654917401
forgot,1,10,4.081623684047964
marriage,1,16,3.4035517789353253
capable,1,2,6.403551778935325
stood,1,15,3.4966611833268066
naked,1,2,6.403551778935325
before,1,66,1.3591576595768722
stronger,1,1,7.403551778935325
even,1,78,1.1181495600730775
than,1,86,0.9772870242332279
desire,1,9,4.233626777493013
ordinary,1,3,5.818589278214169
scene,1,12,3.8185892782141693
could,3,140,1.8592312627115153
answer,1,18,3.2336267774930136
gratitude,1,3,5.818589278214169
equal,1,5,5.081623684047964
lose,1,4,5.403551778935326
very,1,88,0.9441201602980286
much,1,66,1.3591576595768722
fall,2,4,6.403551778935325
if,1,170,-0.005839157202376055
other,1,62,1.4493554685484504
always,1,38,2.15562426549174
give,1,29,2.5455707838077535
his,1,399,-1.2366931572870201
irma,1,65,1.3811839659068712
mrs,1,102,0.7311264369638302
pity,1,7,4.596196856877722
dead,1,18,3.2336267774930136
reached,1,6,4.818589278214169
by,1,150,0.17473308843944477
spiritual,1,3,5.818589278214169
plainly,1,4,5.403551778935326
him,5,348,1.2825363779739596
then,1,119,0.5087340156273821
remark,1,14,3.5961968568777216
rather,1,22,2.9441201602980285
too,1,104,0.7031120607942336
when,1,135,0.3267361818844949
'm,1,42,2.0112343561565655
gino,1,139,0.28461070621181833
laugh,1,11,3.944120160298029
at,1,359,-1.0842882548877257
asked,1,44,1.9441201602980285
philip,1,256,-0.5964482210646742
yes,1,35,2.2742687619903594
cry,1,16,3.4035517789353253
degrading,1,1,7.403551778935325
