collocate,collocate_count,corpus_count,MI
so,8,814,0.7536966900669899
different,1,25,2.778725484558512
ruth,7,1069,0.16789045867035038
whispered,1,14,3.6152267522756327
a,13,2711,-0.28158800536338274
girl,2,73,2.2327571154532198
to,30,4848,0.08629828646880446
bed,1,66,1.3781875549747835
come,4,251,1.4510381203824647
jenny,1,36,2.2526566728909247
's,13,1173,0.9270340944458205
advice,1,10,4.100653579445875
arising,1,4,5.4225816743332365
from,3,568,-0.14220294445028894
centred,1,1,7.422581674333237
all,9,801,0.9468482433668391
in,15,2509,0.03657551453258294
disposition,1,3,5.83761917361208
and,38,5425,0.2651017655576185
her,30,3090,0.7360811471500185
of,48,4042,1.0266905686746577
power,1,77,1.1557951336383356
prompted,1,7,4.615226752275633
least,1,36,2.2526566728909247
passionate,2,29,3.5646006792056646
for,31,1475,1.8502787455835463
him,12,819,1.3298245334133845
would,5,645,0.41135441890998276
passion,2,13,4.722141956192145
whole,1,39,2.1371794554709886
boughs,1,4,5.4225816743332365
old,3,237,1.118800926156134
places,1,21,3.0302642515544767
you,34,1711,1.7694204710941628
we,7,293,2.0351797419685935
could,3,534,-0.05315175663316091
i,22,2806,0.4277139993506349
shall,1,137,0.3245495913727101
almost,1,121,0.5037184370586424
them,4,293,1.2278248199109891
as,7,1511,-0.3313513487739881
much,5,293,1.5497529147983513
falling,1,11,3.9631500556959396
but,7,1322,-0.13856986511685063
did,5,428,1.0030427828194524
not,12,1542,0.41695712513935884
mother,6,217,2.245992942609914
struck,1,30,2.5156910787247186
cold,2,57,2.589691660168495
on,3,887,-0.7852461192466709
selfish,1,5,5.100653579445875
kind,2,101,1.7643701915814423
the,32,7170,-0.3851757292560301
man,1,131,0.3891586727957867
send,1,38,2.1746541608896517
his,9,1326,0.21964161566296148
wife,1,41,2.065029669715153
countenance,1,25,2.778725484558512
beaming,1,2,6.422581674333237
with,12,1237,0.7349143900780235
tenderly,1,14,3.6152267522756327
drew,1,21,3.0302642515544767
speak,3,154,1.7407576343594917
darling,3,44,3.548112556417096
my,9,518,1.5756983880889954
love,2,160,1.1006535794458745
do,8,623,1.139493321309235
me,15,638,2.012059656176886
trust,1,30,2.5156910787247186
enough,1,118,0.5399386249713958
bear,1,44,1.9631500556959396
this,4,575,0.25516352850149937
your,3,310,0.7314197697801554
sorrow,1,44,1.9631500556959396
is,4,784,-0.19212816978197134
vehemently,1,2,6.422581674333237
at,2,924,-1.4291673670828207
it,12,2098,-0.027254787522874465
said,8,690,0.9921291226677055
was,14,2707,-0.17254257582412263
that,6,1745,-0.7614671460426216
one,3,521,-0.017595387224115088
person,1,50,1.7787254845585123
poor,1,138,0.314057217555068
child,5,187,2.1976153093329627
by,6,779,0.402064656992724
no,3,576,-0.1623808263879193
great,1,138,0.314057217555068
are,1,257,-0.5830428748606412
into,4,455,0.5928589392471784
consciousness,1,30,2.5156910787247186
who,2,395,-0.20312716873122838
think,4,312,1.1371794554709886
they,2,616,-0.8442048663616644
equalled,1,1,7.422581674333237
're,2,34,3.3351188330828974
pale,1,39,2.1371794554709886
he,7,2284,-0.9274103389720018
half,1,87,0.9796381784845086
conway,1,1,7.422581674333237
its,3,136,1.9200813338040539
people,1,107,0.6811146879320898
present,1,88,0.9631500556959397
exceeding,1,4,5.4225816743332365
supplied,1,4,5.4225816743332365
place,1,115,0.5770916233888617
again,2,155,1.1464572690589996
god,4,179,1.9387658970689803
madam,1,6,4.83761917361208
truth,2,48,2.837619173612081
own,2,170,1.0131907381955354
too,6,205,2.328064075548947
faithful,1,15,3.515691078724718
true,3,58,3.149563179926821
which,10,883,0.9582401415721333
appeal,1,5,5.100653579445875
tea,1,65,1.4002138613047823
now,2,408,-0.2498436676382587
very,4,480,0.5156910787247184
utterance,1,6,4.83761917361208
natural,1,29,2.5646006792056646
something,1,81,1.0827316714486122
like,2,251,0.4510381203824648
christian,1,11,3.9631500556959396
find,1,63,1.4453017508333206
out,2,432,-0.3323058278302316
signs,1,5,5.100653579445875
money,1,76,1.1746541608896512
will,2,400,-0.22127451544148774
vision,1,6,4.83761917361208
