collocate,collocate_count,corpus_count,MI
with,19,954,1.3531386568578117
her,39,3268,0.6142665501363027
and,91,9873,0.2415784277729287
a,5,2005,-1.6444018270351828
lovely,1,52,1.3026168812786454
no,5,427,0.5868924346866096
call,1,31,2.0488602890328624
to,19,3523,-0.5316046466316405
honour,2,20,3.681128504532375
before,2,297,-0.2112625213810281
the,57,7692,-0.07319643375541787
mere,2,15,4.096166003811219
should,3,167,1.2043148076668415
overtake,1,2,6.003056599419737
him,7,586,0.6156546670550939
folly,1,9,3.8331315979774256
of,70,3683,1.2856739344649661
madness,1,1,7.003056599419738
thou,15,1278,0.5902750740812617
art,4,191,1.4256277713839889
in,15,1516,0.3438931568571646
thy,16,452,2.18287763700455
looks,1,2,6.003056599419737
all,6,774,-0.008170656003516543
those,3,113,1.767840137725706
shall,7,397,1.1774163243343838
worship,1,6,4.418094098698581
thee,28,986,1.86496768509943
sweetness,2,21,3.610739176640977
or,6,417,0.8841155266962303
glory,1,3,5.418094098698582
but,9,1774,-0.619808693439014
scarce,2,91,1.4952619592210414
i,25,2108,0.6052536375572476
say,1,118,0.1204135500578963
an,3,162,1.248169097256269
man,4,229,1.1638528113227937
by,10,496,1.3707883839202248
forbid,1,7,4.195701677362134
me,21,971,1.4720465367793059
forget,1,9,3.8331315979774256
not,8,1133,-0.14287554640077796
my,18,675,1.7742379089238567
sorrow,2,38,2.755129085976152
is,9,853,0.43657966954375965
mingled,1,7,4.195701677362134
some,3,237,0.6992758512426347
toward,2,127,1.0143719126475719
whereof,1,37,1.7936032337907877
great,2,161,0.6721397213051207
was,12,1784,-0.212880799779411
betwixt,4,63,3.0257766759198215
them,8,667,0.6215136482351526
at,3,611,-0.6670094696778357
fellowship,1,24,2.4180940986985817
evil,1,86,0.5767918447176398
must,5,204,1.6525593523356044
therewith,4,163,1.65432844518866
she,9,2912,-1.3348130393366464
that,27,2283,0.6012289573585046
we,7,881,0.02741331255692825
could,2,85,1.5936656632820358
stranger,1,13,3.3026168812786456
whom,4,66,2.9586624800612844
who,4,281,0.8686302791988116
love,8,194,2.4031437572326095
us,6,437,0.8165296306402954
be,7,980,-0.1262264175252289
aliens,1,1,7.003056599419738
till,1,189,-0.5591858248013349
overcometh,1,1,7.003056599419738
will,4,520,-0.019311213608716807
because,4,82,2.6455045948016536
for,34,1472,1.566957484613064
their,7,326,1.4616833672462641
hotness,1,1,7.003056599419738
looked,1,263,-1.0358623898725647
longing,3,38,3.340091586697308
hot,2,21,3.610739176640977
now,6,860,-0.16017374944856658
atra,4,147,1.803384254583373
yet,5,378,0.7627422700860274
about,2,262,-0.030366402117712566
this,5,667,-0.05655825687748494
have,3,662,-0.7826683066663239
learned,1,29,2.1450756042921655
such,4,140,1.8737735824747712
from,3,593,-0.6238691944051097
any,1,141,-0.1364947529790559
loved,1,37,1.7936032337907877
fail,1,15,3.096166003811219
needs,1,77,0.7362700587248362
it,9,1822,-0.6583256429400008
yea,1,114,0.17016658525499606
come,2,391,-0.6079681978876147
unto,2,245,0.06641866041716697
three,1,179,-0.48075917784451894
old,1,109,0.2348722746428114
time,1,203,-0.6622793177654385
perilous,1,12,3.4180940986985813
wept,2,46,2.4794946433627247
our,4,300,0.7742379089238567
slain,1,26,2.3026168812786456
take,1,137,-0.09497548354078914
each,3,71,2.438271980636212
his,10,534,1.2642887626195463
hand,2,272,-0.08440624183060182
so,4,1002,-0.9656101937754706
much,3,167,1.2043148076668415
ye,2,270,-0.07375899763109325
lady,1,179,-0.48075917784451894
fleeing,1,11,3.54362498078244
war,1,18,2.833131597977425
as,8,1342,-0.38711235678044587
give,1,73,0.8132320405397204
knight,1,195,-0.6042737143298731
own,4,80,2.681128504532375
gave,1,63,1.0257766759198212
wearest,1,2,6.003056599419737
when,5,618,0.05352166640272536
clad,1,87,0.5601131035710093
instead,1,3,5.418094098698582
meanwhile,1,24,2.4180940986985817
put,1,60,1.096166003811219
under,1,117,0.13269187983633304
peace,1,39,1.717654380557489
may,3,370,0.05663763962458183
sent,1,26,2.3026168812786456
rendeth,2,1,8.003056599419736
apart,1,11,3.54362498078244
stood,2,209,0.29569746733885477
wise,1,88,0.5436249807824403
gleed,1,1,7.003056599419738
into,3,384,0.0030565994197374992
hearts,2,19,3.7551290859761526
kindness,3,36,3.4180940986985813
talking,1,18,2.833131597977425
together,1,138,-0.10546785735843137
lamented,1,6,4.418094098698581
niggard,1,1,7.003056599419738
mad,1,4,5.003056599419738
naked,1,43,1.57679184471764
how,1,257,-1.0025679497741404
sorely,1,15,3.096166003811219
friend,3,124,1.6338227897540187
first,2,156,0.7176543805574893
other,1,192,-0.5819059013014185
truth,1,16,3.0030565994197373
soul,1,31,2.0488602890328624
gear,1,24,2.4180940986985817
eager,1,16,3.0030565994197373
fire,1,19,2.755129085976152
aloof,1,19,2.755129085976152
only,2,41,2.6455045948016536
quoth,1,42,1.6107391766409773
woe,2,20,3.681128504532375
's,6,320,1.2660910052535315
sweet,1,95,0.4332009910887898
would,1,474,-1.8856866494785214
better,3,73,2.3981945412608763
pity,3,24,4.003056599419738
countenance,1,23,2.4794946433627247
smiling,1,33,1.9586624800612842
men,2,181,0.5032107123365324
pray,3,67,2.5219299096831214
you,3,186,1.0488602890328627
ever,2,114,1.170166585254996
cease,1,5,4.681128504532375
here,1,196,-0.6116532446954706
ravished,1,2,6.003056599419737
greater,1,5,4.681128504532375
wit,1,67,0.9369674089619652
unhappy,1,5,4.681128504532375
indeed,1,87,0.5601131035710093
perforce,1,4,5.003056599419738
more,3,307,0.32592425477071457
though,1,235,-0.8734603471452622
than,2,247,0.0546893678350599
once,1,114,0.17016658525499606
uttermost,1,1,7.003056599419738
suffer,1,29,2.1450756042921655
present,1,14,3.1957016773621336
thrust,1,34,1.915593758169398
upon,1,143,-0.15681473735865187
quest,1,103,0.3165560722365192
kissed,1,105,0.2888110817536151
folk,2,126,1.0257766759198212
making,1,18,2.833131597977425
hast,1,171,-0.4147959154661602
back,1,245,-0.9335813395828331
hounds,1,1,7.003056599419738
flesh,1,33,1.9586624800612842
anguish,1,17,2.9155937581693983
steal,1,3,5.418094098698582
your,1,76,0.7551290859761522
go,1,230,-0.8424334515246376
sake,2,16,4.003056599419738
mind,1,113,0.18287763700454993
music,1,7,4.195701677362134
myself,1,41,1.645504594801654
save,2,170,0.5936656632820358
constraineth,1,1,7.003056599419738
dear,2,133,0.947774163918548
mine,1,79,0.6992758512426347
longer,1,48,1.4180940986985815
look,1,102,0.330631257448242
might,2,424,-0.7248638551434614
threat,1,2,6.003056599419737
trembling,1,19,2.755129085976152
fear,2,107,1.2615896130185904
bear,2,51,2.330631257448242
grief,1,60,1.096166003811219
see,2,256,0.0030565994197374992
since,2,99,1.373699979340128
lacked,1,13,3.3026168812786456
nought,2,245,0.06641866041716697
comes,1,23,2.4794946433627247
home,1,74,0.7936032337907878
hither,1,70,0.8737735824747711
am,1,169,-0.39782283686244657
gone,1,123,0.06054209408049786
