collocate,collocate_count,corpus_count,MI,node_word
nobody,1,52,3.4979786312042025,love
ca,1,66,3.1540242299868413,love
n't,2,639,0.8787462283983005,love
as,5,1322,1.1518399827249657,love
mr,4,1081,1.1202675416106447,love
bumble,2,397,1.5654231522023372,love
delightful,1,1,9.198418349345296,love
mute,1,10,5.8764902544579325,love
my,11,510,3.663496531123734,love
mrs,3,265,2.7335323006158894,love
sowerberry,1,86,2.7721535946431968,love
looked,1,160,1.8764902544579325,love
bestowed,1,15,5.291527753736776,love
dearest,1,6,6.613455848624139,love
lie,1,25,4.55456215957057,love
deep,1,48,3.613455848624139,love
in,4,2386,-0.021959978349933205,love
leave,1,45,3.70656525301562,love
dear,2,277,2.0846761832961063,love
to,6,3962,-0.16863231482303545,love
poor,1,99,2.569061729265685,love
oliver,1,876,-0.5763687102558785,love
never,1,193,1.6059613120772145,love
known,1,41,3.8408663447272113,love
the,18,9634,0.1344241422006299,love
of,11,3876,0.7374971125675109,love
friends,1,48,3.613455848624139,love
or,2,501,1.2297515561500865,love
steal,1,3,7.613455848624139,love
for,9,1158,2.1909238127983706,love
all,3,611,1.5283522802477214,love
chitling,1,36,4.028493347902982,love
's,2,1198,-0.02799384344349085,love
oh,2,136,3.110955508094955,love
fagin,2,309,1.9269553214409203,love
frightened,1,17,5.110955508094956,love
you,7,1760,1.2244135578782396,love
it,4,1882,0.3203674366167581,love
was,1,1807,-1.620962441519305,love
have,4,781,1.5892396112033156,love
been,1,464,0.34043735421772275,love
something,1,100,2.5545621595705703,love
urged,1,10,5.8764902544579325,love
no,3,589,1.5812570262359902,love
interposed,2,30,5.291527753736776,love
lady,2,227,2.3718698620543797,love
do,1,629,-0.09849785753399434,love
responded,1,5,6.876490254457932,love
manner,1,73,3.0085937904652775,love
silence,1,57,3.365528335180553,love
cried,2,182,2.6906237091465983,love
dream,1,10,5.8764902544579325,love
a,2,3785,-1.687659235527799,love
and,11,5428,0.251644962563738,love
affection,1,8,6.198418349345295,love
he,3,2503,-0.5060617256218808,love
mother,1,72,3.0284933479029825,love
comfort,1,12,5.613455848624138,love
me,1,601,-0.03280283136589059,love
know,1,294,0.9987460045089305,love
late,1,24,4.613455848624138,love
said,3,1232,0.5165943093715496,love
elder,1,6,6.613455848624139,love
its,1,136,2.1109555080949556,love
comprehensive,1,3,7.613455848624139,love
them,2,367,1.678782096502082,love
see,1,213,1.4637087291194566,love
duty,1,13,5.4979786312042025,love
with,2,1572,-0.41996715291331166,love
come,3,255,2.789027413207593,love
almost,1,68,3.110955508094955,love
each,1,51,3.525993007373799,love
brick,1,4,7.198418349345295,love
thoughts,1,39,3.913016130483046,love
rose,1,205,1.518938249839849,love
maylie,2,100,3.5545621595705703,love
not,2,814,0.5295333650790479,love
ill,1,47,3.6438294976676575,love
objects,1,9,6.028493347902983,love
our,1,72,3.0284933479029825,love
i,6,1871,0.9137870068256669,love
seen,1,66,3.1540242299868413,love
those,1,94,2.6438294976676575,love
that,2,1960,-0.7382195896572757,love
but,1,729,-0.31135665498164217,love
this,2,806,0.5437823208173274,love
be,1,776,-0.40149449284183286,love
done,1,113,2.3782393869301073,love
her,4,789,1.5745368593318363,love
one,3,465,1.9222939440710574,love
we,1,236,1.3157752999834538,love
dearly,2,3,8.613455848624138,love
is,1,759,-0.36953772607017144,love
trembling,1,27,4.443530847181826,love
best,1,54,3.443530847181826,love
purest,1,2,8.198418349345296,love
heart,2,93,3.6592595382372632,love
object,1,35,4.069135332400328,love
your,2,338,1.7975389130631105,love
look,1,160,1.8764902544579325,love
into,1,464,0.34043735421772275,love
return,1,25,4.55456215957057,love
harry,1,59,3.3157752999834536,love
say,1,195,1.5910880355956842,love
away,1,189,1.636175925124222,love
hearts,1,16,5.198418349345295,love
will,1,303,0.955244365872344,love
carry,1,20,4.8764902544579325,love
mingled,1,12,5.613455848624138,love
young,1,289,1.023492666844616,love
what,1,552,0.08989389256712582,love
doing,1,28,4.3910634272876905,love
voice,1,112,2.391063427287691,love
replied,1,464,0.34043735421772275,love
brownlow,1,173,1.76379012170857,love
life,2,114,3.365528335180553,love
heaven,1,32,4.198418349345294,love
grew,1,21,4.806100926566534,love
him,3,1072,0.7172916596086786,love
would,1,450,0.38463715812825783,love
his,1,2357,-2.0043176939048726,love
guilty,1,9,6.028493347902983,love
resolved,1,16,5.198418349345295,love
if,1,604,-0.03998638997978405,love
most,1,120,2.291527753736776,love
miserable,1,11,5.738986730707997,love
how,1,164,1.840866344727211,love
violent,1,29,4.340437354217722,love
hate,1,9,6.028493347902983,love
remember,1,10,5.8764902544579325,love
who,1,524,0.16499534780784456,love
so,1,597,-0.02316877191951017,love
from,1,631,-0.10307784563725414,love
except,1,23,4.674856393288282,love
god,1,35,4.069135332400328,love
happy,1,49,3.5837085052300868,love
their,1,301,0.9647986725855929,love
another,1,124,2.2442220389584193,love
others,1,31,4.24422203895842,love
mutual,1,4,7.198418349345295,love
fervent,1,3,7.613455848624139,love
thanks,1,5,6.876490254457932,love
hallowed,1,2,8.198418349345296,love
by,1,781,-0.41076038879668436,love
love,2,46,4.674856393288282,love
beyond,2,23,5.674856393288282,love
grave,1,26,4.4979786312042025,love
do,1,629,2.255139097080706,hate
n't,1,639,2.232383183013001,hate
he,2,2503,1.2626127282716635,hate
other,1,237,3.6633120550617364,hate
dogs,1,16,7.552055303959995,hate
as,1,1322,1.1835488424523037,hate
from,1,631,2.2505591089774466,hate
it,2,1882,1.6740043912314586,hate
i,4,1871,2.682461460719211,hate
the,2,9634,-0.681863904626982,hate
sound,1,46,6.028493347902983,hate
man,1,397,2.919060106817038,hate
gone,1,73,5.3622307450799775,hate
another,1,124,4.59785899357312,hate
secured,1,5,9.230127209072634,hate
loathe,1,1,11.552055303959996,hate
and,4,5428,1.1458502985411412,hate
now,1,281,3.4176289837390694,hate
but,1,729,2.0422802996330582,hate
dislike,2,3,10.96709280323884,hate
to,5,3962,1.9219702339578713,hate
hate,2,9,9.382130302517682,hate
loathing,1,1,11.552055303959996,hate
until,1,75,5.323236613464115,hate
a,1,3785,-0.33402228091309877,hate
look,1,160,4.230127209072633,hate
of,1,3876,-0.3682975514550857,hate
which,1,889,1.7560156951302255,hate
even,1,122,4.621317966397109,hate
then,1,251,3.5805117500092236,hate
been,1,464,2.6940743088324233,hate
trained,1,2,10.552055303959996,hate
him,1,1072,1.4859661135022229,hate
left,1,128,4.552055303959995,hate
that,1,1960,0.6154173649574247,hate
her,2,789,2.928173813946537,hate
violent,1,29,6.694074308832423,hate
love,1,46,6.028493347902983,hate
